"","p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.94,0.934,0.916,0.94,0.932,0.92,0.928,0.928,0.938,0.932,0.938,0.918,0.924,0.934,0.94,0.92,0.928,0.902,0.934,0.926,0.938,0.94,0.954,0.924,0.912,0.92,0.928,0.948,0.944,0.918,0.944,0.922,0.936,0.94,0.916,0.932,0.926,0.932,0.936,0.942,0.94,0.918,0.944,0.93,0.936,0.934,0.934,0.938,0.938,0.938
"2",0.2,0.876,0.888,0.852,0.874,0.876,0.876,0.872,0.874,0.872,0.862,0.87,0.858,0.882,0.886,0.87,0.874,0.856,0.836,0.876,0.872,0.862,0.854,0.86,0.908,0.884,0.872,0.876,0.872,0.878,0.884,0.878,0.85,0.86,0.868,0.886,0.864,0.86,0.874,0.88,0.874,0.886,0.872,0.876,0.836,0.88,0.908,0.892,0.894,0.878,0.876
"3",0.4,0.794,0.826,0.776,0.792,0.774,0.808,0.8,0.796,0.808,0.8,0.812,0.81,0.78,0.818,0.83,0.774,0.798,0.812,0.806,0.804,0.782,0.818,0.788,0.802,0.76,0.768,0.804,0.842,0.824,0.798,0.798,0.79,0.806,0.794,0.766,0.82,0.778,0.798,0.808,0.836,0.796,0.826,0.816,0.826,0.8,0.794,0.788,0.788,0.822,0.79
"4",0.6,0.738,0.74,0.716,0.73,0.76,0.746,0.754,0.73,0.762,0.742,0.732,0.742,0.724,0.738,0.766,0.74,0.746,0.73,0.722,0.71,0.764,0.724,0.736,0.738,0.726,0.756,0.688,0.768,0.724,0.714,0.736,0.748,0.752,0.716,0.732,0.754,0.704,0.742,0.718,0.746,0.72,0.724,0.764,0.76,0.722,0.754,0.75,0.73,0.736,0.712
"5",0.8,0.656,0.67,0.702,0.664,0.7,0.66,0.696,0.66,0.686,0.7,0.678,0.686,0.656,0.702,0.65,0.648,0.676,0.698,0.654,0.678,0.708,0.688,0.698,0.708,0.686,0.696,0.72,0.678,0.67,0.688,0.662,0.694,0.694,0.638,0.66,0.694,0.662,0.724,0.664,0.708,0.706,0.662,0.706,0.69,0.674,0.696,0.698,0.68,0.692,0.662
"6",1,0.618,0.626,0.614,0.62,0.62,0.63,0.642,0.64,0.624,0.652,0.626,0.62,0.658,0.624,0.646,0.644,0.656,0.65,0.672,0.61,0.61,0.658,0.624,0.672,0.624,0.634,0.652,0.646,0.668,0.622,0.63,0.638,0.638,0.648,0.634,0.61,0.628,0.62,0.624,0.638,0.65,0.652,0.642,0.646,0.608,0.64,0.584,0.63,0.66,0.626
