"","p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.302,0.29,0.3,0.29,0.29,0.264,0.274,0.28,0.32,0.292,0.282,0.272,0.3,0.266,0.292,0.282,0.266,0.308,0.28,0.28,0.308,0.276,0.304,0.302,0.306,0.278,0.3,0.31,0.272,0.266,0.288,0.3,0.32,0.282,0.304,0.274,0.284,0.304,0.272,0.31,0.296,0.252,0.26,0.268,0.256,0.292,0.27,0.288,0.294,0.3
"2",0.2,0.254,0.254,0.26,0.228,0.24,0.268,0.238,0.208,0.236,0.24,0.258,0.258,0.222,0.244,0.234,0.218,0.222,0.222,0.23,0.244,0.242,0.244,0.212,0.238,0.256,0.236,0.206,0.216,0.238,0.238,0.234,0.27,0.226,0.228,0.234,0.21,0.22,0.22,0.256,0.234,0.244,0.248,0.25,0.216,0.25,0.246,0.248,0.216,0.256,0.272
"3",0.4,0.18,0.198,0.218,0.204,0.202,0.186,0.194,0.196,0.188,0.248,0.232,0.212,0.192,0.192,0.236,0.212,0.188,0.206,0.2,0.208,0.228,0.21,0.208,0.202,0.202,0.234,0.192,0.224,0.178,0.208,0.198,0.204,0.174,0.18,0.212,0.214,0.212,0.23,0.208,0.212,0.208,0.226,0.224,0.216,0.212,0.18,0.194,0.196,0.188,0.212
"4",0.6,0.168,0.174,0.18,0.162,0.16,0.158,0.18,0.184,0.16,0.18,0.174,0.202,0.172,0.218,0.188,0.17,0.174,0.18,0.164,0.17,0.188,0.18,0.166,0.162,0.17,0.192,0.182,0.17,0.156,0.206,0.172,0.166,0.202,0.2,0.166,0.18,0.196,0.182,0.144,0.186,0.16,0.172,0.15,0.224,0.226,0.17,0.21,0.204,0.196,0.19
"5",0.8,0.144,0.16,0.154,0.14,0.156,0.154,0.168,0.126,0.16,0.18,0.162,0.186,0.152,0.14,0.156,0.14,0.18,0.152,0.154,0.188,0.19,0.166,0.172,0.168,0.146,0.164,0.174,0.19,0.154,0.15,0.15,0.208,0.204,0.178,0.148,0.148,0.154,0.15,0.188,0.13,0.138,0.162,0.17,0.176,0.168,0.176,0.164,0.19,0.216,0.184
"6",1,0.184,0.172,0.152,0.158,0.118,0.184,0.142,0.144,0.134,0.156,0.136,0.136,0.184,0.162,0.18,0.16,0.172,0.164,0.154,0.134,0.204,0.138,0.156,0.172,0.198,0.158,0.132,0.144,0.162,0.162,0.132,0.15,0.154,0.154,0.148,0.146,0.15,0.148,0.138,0.162,0.16,0.178,0.148,0.146,0.166,0.13,0.154,0.164,0.162,0.172
