"","n.seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",50,0.078,0.054,0.09,0.062,0.048,0.078,0.056,0.078,0.098,0.052,0.07,0.062,0.064,0.086,0.062,0.062,0.07,0.078,0.094,0.07,0.044,0.076,0.058,0.064,0.054,0.06,0.062,0.068,0.072,0.086,0.078,0.064,0.066,0.08,0.066,0.072,0.078,0.064,0.082,0.064,0.05,0.058,0.082,0.066,0.078,0.052,0.094,0.074,0.048,0.064
"2",100,0.088,0.12,0.126,0.106,0.098,0.134,0.128,0.132,0.12,0.104,0.108,0.12,0.112,0.108,0.118,0.098,0.092,0.11,0.132,0.098,0.09,0.12,0.128,0.098,0.124,0.1,0.13,0.106,0.124,0.102,0.108,0.134,0.124,0.102,0.09,0.104,0.108,0.096,0.114,0.102,0.094,0.102,0.112,0.11,0.124,0.102,0.104,0.11,0.118,0.104
"3",200,0.218,0.192,0.208,0.214,0.178,0.198,0.214,0.21,0.174,0.24,0.208,0.198,0.214,0.218,0.17,0.212,0.204,0.198,0.242,0.24,0.184,0.242,0.204,0.178,0.204,0.212,0.22,0.192,0.2,0.202,0.206,0.206,0.226,0.2,0.2,0.218,0.198,0.228,0.22,0.176,0.218,0.192,0.202,0.2,0.212,0.2,0.196,0.22,0.188,0.244
"4",300,0.358,0.32,0.308,0.314,0.334,0.306,0.336,0.316,0.316,0.314,0.288,0.34,0.316,0.334,0.344,0.316,0.316,0.286,0.292,0.326,0.314,0.272,0.332,0.278,0.34,0.308,0.366,0.34,0.328,0.32,0.3,0.282,0.29,0.314,0.314,0.33,0.298,0.322,0.342,0.302,0.322,0.288,0.346,0.308,0.316,0.296,0.3,0.336,0.328,0.328
"5",400,0.432,0.44,0.438,0.424,0.44,0.458,0.408,0.466,0.372,0.434,0.434,0.438,0.414,0.446,0.448,0.442,0.45,0.42,0.412,0.454,0.43,0.412,0.442,0.426,0.424,0.462,0.428,0.444,0.46,0.43,0.452,0.396,0.426,0.416,0.472,0.428,0.442,0.434,0.456,0.446,0.45,0.446,0.436,0.432,0.444,0.466,0.454,0.44,0.426,0.412
"6",500,0.53,0.586,0.542,0.518,0.578,0.554,0.572,0.496,0.546,0.518,0.558,0.514,0.526,0.574,0.556,0.51,0.496,0.544,0.534,0.534,0.534,0.57,0.56,0.53,0.542,0.578,0.544,0.532,0.526,0.534,0.542,0.52,0.542,0.552,0.548,0.566,0.526,0.558,0.576,0.566,0.554,0.542,0.536,0.542,0.568,0.574,0.528,0.55,0.522,0.522
