"","n.seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",50,0.126,0.14,0.138,0.134,0.118,0.114,0.118,0.138,0.12,0.164,0.126,0.122,0.112,0.136,0.142,0.136,0.122,0.128,0.114,0.132,0.112,0.114,0.118,0.15,0.13,0.128,0.136,0.122,0.138,0.142,0.144,0.114,0.118,0.124,0.12,0.126,0.13,0.134,0.14,0.144,0.126,0.156,0.132,0.118,0.108,0.15,0.144,0.13,0.124,0.124
"2",100,0.17,0.17,0.198,0.198,0.168,0.186,0.166,0.186,0.19,0.186,0.17,0.182,0.18,0.21,0.156,0.17,0.172,0.15,0.148,0.178,0.154,0.184,0.17,0.192,0.19,0.21,0.162,0.202,0.178,0.196,0.164,0.194,0.18,0.184,0.15,0.194,0.17,0.23,0.146,0.164,0.162,0.196,0.212,0.152,0.176,0.172,0.188,0.184,0.166,0.186
"3",200,0.374,0.334,0.342,0.336,0.312,0.308,0.294,0.336,0.34,0.322,0.33,0.31,0.346,0.312,0.33,0.31,0.32,0.338,0.332,0.354,0.312,0.362,0.336,0.328,0.322,0.31,0.33,0.364,0.318,0.32,0.308,0.33,0.326,0.29,0.338,0.316,0.332,0.324,0.326,0.294,0.302,0.32,0.34,0.318,0.276,0.338,0.268,0.35,0.298,0.314
"4",300,0.456,0.462,0.488,0.48,0.49,0.494,0.472,0.45,0.478,0.47,0.462,0.496,0.476,0.428,0.502,0.492,0.48,0.516,0.432,0.468,0.462,0.472,0.46,0.456,0.472,0.476,0.488,0.446,0.464,0.476,0.454,0.488,0.476,0.48,0.448,0.5,0.472,0.486,0.496,0.522,0.472,0.428,0.48,0.478,0.482,0.43,0.442,0.472,0.452,0.456
"5",400,0.59,0.604,0.594,0.578,0.602,0.596,0.642,0.61,0.624,0.6,0.606,0.598,0.604,0.612,0.588,0.616,0.596,0.58,0.572,0.588,0.604,0.548,0.608,0.608,0.602,0.646,0.568,0.602,0.638,0.596,0.572,0.574,0.618,0.552,0.602,0.626,0.642,0.608,0.56,0.632,0.644,0.568,0.596,0.604,0.584,0.614,0.594,0.58,0.568,0.638
"6",500,0.7,0.724,0.724,0.69,0.724,0.736,0.738,0.704,0.7,0.732,0.72,0.676,0.696,0.71,0.712,0.722,0.724,0.708,0.692,0.742,0.704,0.73,0.696,0.726,0.722,0.712,0.734,0.706,0.696,0.722,0.71,0.71,0.748,0.682,0.754,0.736,0.742,0.706,0.738,0.706,0.712,0.722,0.696,0.714,0.68,0.714,0.734,0.724,0.718,0.726
