"","n.seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",50,0.17,0.174,0.226,0.17,0.174,0.174,0.2,0.188,0.186,0.19,0.192,0.166,0.222,0.194,0.174,0.2,0.2,0.19,0.166,0.164,0.17,0.172,0.198,0.188,0.18,0.202,0.184,0.196,0.216,0.176,0.202,0.192,0.214,0.232,0.218,0.208,0.196,0.216,0.18,0.17,0.188,0.184,0.198,0.204,0.178,0.188,0.162,0.206,0.184,0.212
"2",100,0.222,0.198,0.264,0.224,0.216,0.228,0.204,0.256,0.218,0.204,0.226,0.248,0.234,0.238,0.218,0.242,0.212,0.24,0.204,0.248,0.246,0.198,0.21,0.246,0.218,0.224,0.23,0.228,0.22,0.22,0.246,0.226,0.246,0.232,0.246,0.236,0.22,0.22,0.252,0.21,0.214,0.218,0.19,0.258,0.256,0.202,0.21,0.218,0.224,0.24
"3",200,0.404,0.358,0.35,0.36,0.366,0.366,0.364,0.378,0.366,0.392,0.342,0.346,0.326,0.37,0.334,0.388,0.394,0.356,0.348,0.378,0.328,0.3,0.382,0.324,0.34,0.35,0.352,0.354,0.392,0.366,0.382,0.34,0.378,0.366,0.366,0.364,0.346,0.366,0.36,0.358,0.35,0.358,0.344,0.378,0.358,0.372,0.324,0.32,0.38,0.34
"4",300,0.516,0.49,0.48,0.492,0.492,0.52,0.472,0.476,0.532,0.52,0.518,0.446,0.508,0.498,0.48,0.498,0.502,0.498,0.506,0.502,0.518,0.522,0.514,0.51,0.5,0.51,0.482,0.518,0.506,0.532,0.53,0.526,0.536,0.498,0.492,0.474,0.47,0.51,0.526,0.54,0.488,0.498,0.52,0.49,0.512,0.492,0.504,0.558,0.53,0.518
"5",400,0.622,0.654,0.664,0.616,0.628,0.656,0.65,0.63,0.648,0.616,0.648,0.644,0.64,0.664,0.626,0.616,0.596,0.672,0.658,0.618,0.666,0.67,0.63,0.618,0.638,0.608,0.64,0.624,0.622,0.628,0.646,0.612,0.628,0.642,0.668,0.694,0.642,0.604,0.656,0.634,0.612,0.674,0.646,0.656,0.628,0.68,0.622,0.616,0.604,0.64
"6",500,0.73,0.734,0.726,0.778,0.752,0.75,0.746,0.748,0.724,0.76,0.76,0.744,0.744,0.736,0.742,0.744,0.748,0.722,0.71,0.736,0.768,0.772,0.77,0.748,0.734,0.754,0.748,0.764,0.776,0.754,0.764,0.756,0.772,0.722,0.744,0.742,0.752,0.776,0.754,0.752,0.742,0.722,0.776,0.74,0.722,0.766,0.72,0.724,0.724,0.744
