"","n.seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",50,0.104,0.078,0.084,0.086,0.072,0.078,0.096,0.084,0.076,0.08,0.09,0.092,0.088,0.074,0.076,0.108,0.072,0.074,0.088,0.104,0.07,0.084,0.1,0.102,0.086,0.074,0.056,0.082,0.068,0.094,0.11,0.072,0.074,0.094,0.078,0.078,0.084,0.098,0.084,0.068,0.074,0.11,0.08,0.084,0.092,0.1,0.082,0.084,0.09,0.074
"2",100,0.08,0.102,0.076,0.094,0.08,0.1,0.082,0.1,0.076,0.106,0.104,0.082,0.07,0.106,0.096,0.088,0.08,0.12,0.074,0.098,0.098,0.096,0.102,0.116,0.092,0.076,0.098,0.084,0.1,0.082,0.094,0.086,0.092,0.086,0.084,0.094,0.094,0.074,0.09,0.09,0.106,0.106,0.09,0.13,0.088,0.116,0.074,0.094,0.092,0.056
"3",200,0.114,0.114,0.112,0.104,0.104,0.104,0.112,0.098,0.142,0.114,0.104,0.09,0.084,0.102,0.142,0.128,0.116,0.116,0.118,0.11,0.118,0.102,0.126,0.104,0.098,0.106,0.12,0.098,0.13,0.128,0.138,0.116,0.118,0.128,0.104,0.116,0.112,0.108,0.134,0.106,0.108,0.124,0.108,0.128,0.13,0.112,0.106,0.112,0.118,0.1
"4",300,0.152,0.14,0.142,0.156,0.13,0.158,0.166,0.12,0.162,0.144,0.148,0.124,0.122,0.142,0.136,0.12,0.136,0.142,0.12,0.138,0.15,0.134,0.146,0.138,0.132,0.14,0.14,0.136,0.126,0.128,0.118,0.128,0.126,0.156,0.112,0.15,0.162,0.116,0.146,0.124,0.11,0.148,0.174,0.158,0.114,0.12,0.134,0.156,0.126,0.12
"5",400,0.122,0.184,0.16,0.164,0.166,0.142,0.142,0.17,0.136,0.146,0.166,0.156,0.162,0.152,0.154,0.162,0.158,0.168,0.168,0.178,0.166,0.174,0.15,0.182,0.134,0.17,0.144,0.22,0.126,0.144,0.168,0.128,0.174,0.16,0.16,0.162,0.162,0.188,0.146,0.16,0.164,0.126,0.152,0.166,0.17,0.134,0.184,0.168,0.17,0.16
"6",500,0.17,0.194,0.17,0.188,0.146,0.192,0.2,0.164,0.182,0.158,0.172,0.13,0.184,0.19,0.186,0.2,0.196,0.174,0.178,0.198,0.184,0.176,0.222,0.2,0.204,0.2,0.2,0.168,0.172,0.202,0.186,0.23,0.182,0.176,0.166,0.174,0.186,0.154,0.186,0.186,0.15,0.172,0.176,0.178,0.17,0.19,0.162,0.18,0.172,0.172
