"","p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",0.2,0.996,0.998,1,0.998,0.998,0.998,0.998,1,0.998,1,0.998,0.996,1,1,0.994,0.998,1,0.994,0.998,0.994,1,0.992,0.994,1,0.998,1,0.998,0.998,0.994,0.998,1,1,0.994,1,1,1,0.998,0.996,1,1,1,0.994,0.998,1,0.996,0.998,0.998,0.994,1,1
"3",0.4,0.974,0.976,0.976,0.966,0.964,0.974,0.964,0.978,0.964,0.972,0.968,0.974,0.984,0.968,0.974,0.976,0.976,0.974,0.98,0.98,0.958,0.978,0.972,0.972,0.968,0.976,0.968,0.968,0.978,0.974,0.974,0.964,0.966,0.974,0.954,0.98,0.964,0.976,0.966,0.98,0.968,0.974,0.972,0.966,0.962,0.982,0.968,0.962,0.964,0.972
"4",0.6,0.9,0.918,0.936,0.92,0.914,0.904,0.926,0.924,0.924,0.914,0.916,0.896,0.924,0.914,0.924,0.898,0.916,0.932,0.904,0.9,0.924,0.918,0.928,0.914,0.922,0.928,0.904,0.93,0.916,0.898,0.908,0.92,0.94,0.92,0.92,0.934,0.904,0.912,0.946,0.922,0.922,0.928,0.912,0.922,0.908,0.91,0.926,0.922,0.892,0.918
"5",0.8,0.822,0.838,0.842,0.878,0.862,0.862,0.87,0.842,0.85,0.858,0.872,0.87,0.844,0.86,0.826,0.834,0.834,0.854,0.868,0.84,0.852,0.816,0.856,0.854,0.834,0.852,0.822,0.846,0.858,0.88,0.842,0.848,0.838,0.83,0.822,0.854,0.868,0.86,0.84,0.824,0.856,0.862,0.83,0.864,0.83,0.84,0.866,0.824,0.852,0.856
"6",1,0.788,0.774,0.81,0.774,0.74,0.782,0.784,0.782,0.766,0.764,0.784,0.796,0.8,0.746,0.784,0.772,0.75,0.772,0.794,0.78,0.774,0.778,0.744,0.802,0.792,0.796,0.79,0.728,0.784,0.762,0.758,0.812,0.778,0.774,0.744,0.796,0.806,0.784,0.848,0.788,0.772,0.77,0.778,0.772,0.8,0.778,0.774,0.768,0.794,0.776
