"","p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",0.2,1,1,1,1,1,1,0.998,1,1,1,1,1,1,1,1,1,1,1,0.998,1,1,1,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",0.4,0.998,0.998,0.992,0.998,0.994,0.994,0.998,0.998,0.99,0.994,0.988,0.992,0.998,0.992,0.992,0.994,0.99,0.996,0.996,0.994,1,0.988,0.998,0.99,0.996,0.994,1,0.996,0.994,0.998,0.998,0.998,0.99,0.996,0.992,0.988,0.988,0.996,0.996,0.996,0.99,0.988,0.998,0.998,0.996,0.998,0.998,0.998,0.998,1
"4",0.6,0.956,0.964,0.978,0.958,0.976,0.968,0.974,0.97,0.972,0.968,0.976,0.95,0.968,0.972,0.964,0.964,0.95,0.96,0.958,0.962,0.96,0.964,0.962,0.976,0.982,0.966,0.962,0.962,0.978,0.956,0.972,0.966,0.968,0.96,0.972,0.984,0.974,0.95,0.962,0.962,0.96,0.97,0.972,0.958,0.972,0.972,0.962,0.952,0.962,0.952
"5",0.8,0.9,0.906,0.892,0.906,0.896,0.904,0.908,0.912,0.924,0.924,0.912,0.91,0.902,0.904,0.9,0.89,0.898,0.902,0.922,0.898,0.914,0.898,0.912,0.918,0.93,0.904,0.892,0.878,0.904,0.914,0.91,0.9,0.908,0.906,0.902,0.916,0.926,0.89,0.91,0.898,0.884,0.882,0.88,0.884,0.898,0.884,0.936,0.886,0.908,0.916
"6",1,0.822,0.86,0.794,0.832,0.868,0.824,0.81,0.812,0.804,0.81,0.844,0.862,0.824,0.82,0.838,0.824,0.798,0.846,0.808,0.816,0.856,0.818,0.828,0.81,0.84,0.86,0.786,0.844,0.792,0.848,0.824,0.83,0.866,0.844,0.816,0.846,0.842,0.814,0.824,0.82,0.848,0.836,0.802,0.806,0.818,0.83,0.814,0.822,0.868,0.826
