"","p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.802,0.76,0.776,0.736,0.812,0.804,0.802,0.772,0.782,0.78,0.768,0.724,0.748,0.732,0.788,0.782,0.742,0.766,0.76,0.782,0.776,0.75,0.796,0.754,0.79,0.726,0.746,0.786,0.76,0.772,0.78,0.754,0.784,0.772,0.772,0.778,0.802,0.772,0.756,0.814,0.78,0.756,0.814,0.786,0.784,0.784,0.77,0.78,0.754,0.778
"2",0.2,0.66,0.694,0.724,0.678,0.676,0.69,0.706,0.696,0.702,0.71,0.686,0.668,0.694,0.65,0.642,0.632,0.688,0.728,0.692,0.698,0.702,0.684,0.732,0.716,0.668,0.672,0.694,0.678,0.668,0.684,0.664,0.688,0.706,0.722,0.678,0.706,0.69,0.704,0.696,0.72,0.678,0.676,0.644,0.706,0.7,0.652,0.72,0.678,0.672,0.692
"3",0.4,0.598,0.602,0.64,0.6,0.618,0.606,0.606,0.594,0.61,0.642,0.626,0.65,0.586,0.658,0.578,0.614,0.626,0.618,0.622,0.588,0.616,0.648,0.606,0.62,0.608,0.664,0.616,0.616,0.632,0.602,0.624,0.604,0.614,0.624,0.62,0.634,0.636,0.642,0.624,0.614,0.636,0.622,0.622,0.664,0.602,0.61,0.638,0.6,0.636,0.632
"4",0.6,0.572,0.612,0.592,0.556,0.602,0.566,0.578,0.594,0.6,0.572,0.59,0.568,0.584,0.542,0.592,0.588,0.572,0.576,0.576,0.548,0.616,0.526,0.528,0.546,0.596,0.596,0.568,0.6,0.602,0.54,0.556,0.548,0.578,0.586,0.552,0.59,0.576,0.544,0.578,0.576,0.582,0.594,0.59,0.582,0.572,0.556,0.558,0.546,0.582,0.574
"5",0.8,0.536,0.548,0.514,0.53,0.488,0.532,0.55,0.55,0.574,0.552,0.57,0.556,0.552,0.536,0.57,0.544,0.506,0.558,0.566,0.532,0.532,0.568,0.538,0.528,0.53,0.538,0.528,0.49,0.528,0.518,0.574,0.582,0.556,0.54,0.534,0.564,0.57,0.532,0.524,0.558,0.544,0.554,0.558,0.554,0.54,0.522,0.514,0.536,0.538,0.492
"6",1,0.524,0.498,0.51,0.526,0.508,0.526,0.468,0.484,0.534,0.5,0.5,0.47,0.488,0.544,0.504,0.552,0.49,0.51,0.454,0.542,0.488,0.506,0.51,0.518,0.466,0.558,0.516,0.528,0.54,0.522,0.488,0.49,0.486,0.49,0.516,0.536,0.502,0.51,0.522,0.512,0.474,0.53,0.462,0.516,0.512,0.472,0.486,0.466,0.51,0.498
