"","p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.506,0.518,0.516,0.504,0.516,0.478,0.488,0.508,0.5,0.498,0.48,0.51,0.49,0.528,0.466,0.466,0.522,0.496,0.498,0.526,0.472,0.484,0.484,0.522,0.508,0.504,0.526,0.466,0.472,0.498,0.498,0.514,0.492,0.47,0.514,0.522,0.476,0.516,0.446,0.53,0.47,0.512,0.516,0.524,0.504,0.522,0.472,0.512,0.478,0.506
"2",0.2,0.096,0.072,0.112,0.114,0.106,0.114,0.11,0.12,0.106,0.118,0.116,0.094,0.148,0.108,0.094,0.078,0.108,0.1,0.104,0.126,0.104,0.086,0.088,0.106,0.098,0.122,0.122,0.084,0.106,0.132,0.116,0.1,0.124,0.104,0.098,0.114,0.086,0.114,0.126,0.108,0.106,0.13,0.1,0.112,0.074,0.094,0.082,0.096,0.116,0.102
"3",0.4,0.068,0.08,0.064,0.058,0.064,0.074,0.072,0.094,0.086,0.082,0.084,0.066,0.072,0.064,0.08,0.068,0.068,0.074,0.072,0.07,0.074,0.066,0.066,0.068,0.07,0.06,0.066,0.07,0.07,0.064,0.08,0.058,0.074,0.082,0.082,0.074,0.084,0.072,0.06,0.08,0.062,0.05,0.058,0.072,0.054,0.066,0.092,0.07,0.072,0.062
"4",0.6,0.07,0.064,0.086,0.08,0.084,0.096,0.084,0.062,0.078,0.082,0.082,0.092,0.068,0.084,0.102,0.086,0.078,0.058,0.098,0.088,0.084,0.082,0.08,0.086,0.06,0.098,0.076,0.072,0.068,0.056,0.076,0.104,0.076,0.082,0.064,0.066,0.08,0.082,0.084,0.08,0.08,0.09,0.07,0.07,0.074,0.082,0.08,0.09,0.068,0.088
"5",0.8,0.11,0.116,0.09,0.078,0.07,0.072,0.098,0.082,0.108,0.092,0.084,0.074,0.094,0.078,0.084,0.09,0.118,0.11,0.088,0.104,0.124,0.082,0.088,0.074,0.08,0.102,0.074,0.098,0.086,0.096,0.094,0.076,0.06,0.134,0.082,0.1,0.076,0.104,0.14,0.088,0.118,0.104,0.096,0.072,0.1,0.118,0.088,0.102,0.102,0.092
"6",1,0.102,0.112,0.124,0.1,0.104,0.14,0.126,0.108,0.126,0.082,0.076,0.116,0.09,0.134,0.11,0.112,0.098,0.112,0.078,0.114,0.106,0.108,0.116,0.108,0.136,0.102,0.104,0.118,0.126,0.106,0.084,0.104,0.116,0.112,0.11,0.122,0.09,0.096,0.104,0.088,0.136,0.102,0.092,0.116,0.092,0.126,0.134,0.096,0.104,0.124
