"","p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.12,0.126,0.134,0.138,0.152,0.132,0.13,0.124,0.148,0.128,0.144,0.122,0.126,0.126,0.144,0.128,0.126,0.108,0.16,0.14,0.124,0.124,0.104,0.136,0.156,0.118,0.144,0.122,0.132,0.124,0.134,0.116,0.15,0.104,0.16,0.144,0.12,0.11,0.118,0.11,0.132,0.108,0.12,0.144,0.108,0.15,0.14,0.156,0.136,0.13
"2",0.2,0.146,0.176,0.186,0.162,0.18,0.154,0.168,0.162,0.19,0.168,0.172,0.178,0.192,0.138,0.174,0.198,0.158,0.15,0.168,0.178,0.178,0.176,0.198,0.198,0.154,0.192,0.166,0.186,0.184,0.154,0.166,0.152,0.166,0.156,0.176,0.14,0.202,0.152,0.176,0.146,0.168,0.17,0.188,0.158,0.194,0.186,0.144,0.162,0.188,0.15
"3",0.4,0.172,0.19,0.198,0.16,0.188,0.212,0.19,0.19,0.194,0.158,0.188,0.208,0.19,0.168,0.19,0.228,0.202,0.18,0.196,0.194,0.21,0.228,0.192,0.216,0.218,0.204,0.192,0.19,0.162,0.194,0.186,0.202,0.192,0.156,0.198,0.192,0.204,0.144,0.21,0.202,0.184,0.178,0.194,0.178,0.188,0.186,0.166,0.19,0.184,0.194
"4",0.6,0.194,0.26,0.238,0.228,0.23,0.2,0.218,0.184,0.214,0.192,0.186,0.204,0.192,0.22,0.226,0.188,0.206,0.218,0.174,0.176,0.198,0.208,0.172,0.188,0.188,0.18,0.208,0.21,0.224,0.212,0.212,0.192,0.204,0.174,0.216,0.172,0.192,0.222,0.174,0.232,0.198,0.186,0.206,0.21,0.166,0.194,0.178,0.22,0.21,0.224
"5",0.8,0.206,0.198,0.23,0.182,0.224,0.17,0.216,0.2,0.192,0.218,0.198,0.234,0.178,0.22,0.19,0.2,0.176,0.184,0.21,0.222,0.182,0.188,0.19,0.198,0.182,0.204,0.196,0.226,0.19,0.182,0.178,0.2,0.182,0.198,0.216,0.194,0.206,0.216,0.206,0.206,0.208,0.154,0.208,0.218,0.204,0.21,0.208,0.212,0.228,0.228
"6",1,0.196,0.21,0.196,0.202,0.172,0.178,0.198,0.21,0.198,0.202,0.218,0.192,0.18,0.208,0.244,0.21,0.2,0.17,0.21,0.188,0.206,0.254,0.184,0.2,0.224,0.202,0.222,0.202,0.222,0.196,0.212,0.208,0.21,0.214,0.222,0.232,0.196,0.188,0.202,0.2,0.216,0.24,0.214,0.212,0.206,0.206,0.188,0.206,0.186,0.202
