"","h","Single.Kernel.1","Single.Kernel.2","Multiple.Kernel.1","Multiple.Kernel.2","Multiple.Kernel.3"
"1",1,0.01,0.042,0.038,0.036,0.034
"2",1.1,0.072,0.118,0.47,0.5,0.576
"3",1.2,0.488,0.646,0.988,0.99,0.996
"4",1.3,0.966,0.994,1,1,1
"5",1.4,1,1,1,1,1
"6",1.5,1,1,1,1,1
"7",1.6,1,1,1,1,1
"8",1.7,1,1,1,1,1
"9",1.8,1,1,1,1,1
"10",1.9,1,1,1,1,1
"11",2,1,1,1,1,1
