"","Signal.Strength","Multiple.Kernel.1","Multiple.Kernel.2","Multiple.Kernel.3","Single.Kernel.1","Single.Kernel.2"
"1",1,0.01,0.034,0.012,0.042,0.052
"2",1.1,0.008,0.038,0.014,0.058,0.05
"3",1.2,0.02,0.05,0.026,0.052,0.078
"4",1.3,0.05,0.064,0.038,0.052,0.066
"5",1.4,0.134,0.168,0.116,0.084,0.102
"6",1.5,0.322,0.452,0.318,0.176,0.152
"7",1.6,0.66,0.678,0.534,0.212,0.25
"8",1.7,0.852,0.914,0.814,0.344,0.326
"9",1.8,0.954,0.962,0.956,0.49,0.502
"10",1.9,0.996,1,0.994,0.6,0.646
"11",2,1,1,1,0.718,0.712
