"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.162,0.176,0.186,0.174,0.208,0.158,0.184,0.196,0.188,0.182,0.146,0.174,0.162,0.178,0.132,0.15,0.152,0.16,0.184,0.184,0.186,0.174,0.148,0.172,0.178,0.172,0.17,0.202,0.174,0.15,0.146,0.166,0.188,0.158,0.16,0.14,0.152,0.176,0.158,0.162,0.162,0.182,0.166,0.182,0.156,0.166,0.146,0.198,0.186,0.142
"2",10,0.226,0.214,0.254,0.226,0.24,0.22,0.216,0.212,0.258,0.242,0.244,0.232,0.226,0.226,0.248,0.254,0.226,0.214,0.254,0.206,0.228,0.218,0.236,0.242,0.258,0.238,0.242,0.236,0.23,0.23,0.226,0.206,0.242,0.204,0.25,0.23,0.246,0.206,0.252,0.208,0.286,0.214,0.23,0.254,0.244,0.23,0.238,0.204,0.234,0.226
"3",25,0.326,0.382,0.388,0.376,0.398,0.412,0.39,0.338,0.38,0.37,0.392,0.404,0.36,0.362,0.366,0.312,0.392,0.392,0.382,0.382,0.368,0.418,0.384,0.334,0.376,0.352,0.442,0.348,0.37,0.372,0.374,0.382,0.368,0.358,0.312,0.37,0.376,0.406,0.376,0.354,0.388,0.408,0.376,0.366,0.378,0.394,0.376,0.402,0.342,0.362
"4",50,0.512,0.542,0.49,0.578,0.544,0.528,0.524,0.51,0.518,0.508,0.544,0.508,0.51,0.51,0.546,0.536,0.548,0.532,0.548,0.582,0.514,0.524,0.55,0.518,0.53,0.474,0.516,0.52,0.512,0.546,0.576,0.532,0.522,0.552,0.514,0.51,0.54,0.494,0.528,0.522,0.532,0.56,0.512,0.494,0.54,0.54,0.508,0.522,0.53,0.568
"5",75,0.598,0.616,0.61,0.588,0.656,0.648,0.644,0.62,0.598,0.628,0.614,0.638,0.674,0.612,0.636,0.604,0.646,0.61,0.628,0.616,0.668,0.638,0.64,0.582,0.634,0.626,0.62,0.634,0.596,0.644,0.626,0.628,0.644,0.61,0.598,0.642,0.636,0.628,0.624,0.604,0.626,0.642,0.632,0.616,0.644,0.624,0.626,0.63,0.604,0.624
"6",100,0.674,0.696,0.698,0.69,0.722,0.704,0.712,0.696,0.726,0.696,0.732,0.734,0.73,0.694,0.672,0.682,0.7,0.688,0.712,0.7,0.7,0.738,0.688,0.69,0.708,0.76,0.658,0.696,0.708,0.708,0.736,0.73,0.71,0.692,0.702,0.666,0.69,0.714,0.69,0.694,0.694,0.708,0.706,0.718,0.73,0.696,0.688,0.68,0.688,0.708
"7",150,0.794,0.782,0.782,0.798,0.77,0.826,0.83,0.812,0.794,0.768,0.822,0.81,0.802,0.812,0.788,0.808,0.792,0.796,0.816,0.826,0.772,0.812,0.784,0.79,0.77,0.812,0.814,0.806,0.796,0.804,0.786,0.8,0.818,0.784,0.784,0.8,0.816,0.798,0.802,0.804,0.802,0.814,0.784,0.766,0.788,0.82,0.8,0.77,0.798,0.816
