"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.108,0.114,0.09,0.1,0.088,0.086,0.118,0.082,0.096,0.084,0.106,0.094,0.102,0.108,0.1,0.078,0.128,0.124,0.112,0.094,0.094,0.074,0.11,0.122,0.1,0.096,0.068,0.082,0.102,0.108,0.09,0.11,0.106,0.086,0.09,0.09,0.102,0.108,0.084,0.084,0.108,0.108,0.098,0.11,0.108,0.102,0.092,0.082,0.106,0.082
"2",10,0.13,0.152,0.124,0.13,0.112,0.124,0.132,0.128,0.17,0.15,0.124,0.116,0.094,0.134,0.112,0.128,0.116,0.092,0.13,0.132,0.168,0.132,0.114,0.142,0.134,0.106,0.106,0.11,0.102,0.13,0.14,0.114,0.142,0.108,0.116,0.126,0.124,0.112,0.122,0.16,0.102,0.118,0.16,0.112,0.094,0.116,0.14,0.122,0.118,0.158
"3",25,0.224,0.206,0.206,0.226,0.23,0.204,0.218,0.178,0.226,0.196,0.246,0.19,0.22,0.242,0.218,0.254,0.236,0.2,0.19,0.222,0.222,0.216,0.214,0.238,0.22,0.212,0.21,0.206,0.21,0.182,0.19,0.226,0.222,0.222,0.198,0.216,0.214,0.19,0.23,0.194,0.24,0.206,0.22,0.206,0.236,0.232,0.196,0.218,0.186,0.226
"4",50,0.274,0.322,0.302,0.318,0.372,0.32,0.336,0.322,0.302,0.306,0.334,0.328,0.318,0.34,0.366,0.302,0.332,0.314,0.336,0.346,0.31,0.336,0.326,0.298,0.294,0.294,0.354,0.314,0.342,0.318,0.374,0.308,0.33,0.316,0.294,0.31,0.336,0.34,0.32,0.306,0.316,0.314,0.304,0.308,0.326,0.328,0.304,0.352,0.368,0.314
"5",75,0.406,0.388,0.456,0.384,0.422,0.47,0.422,0.438,0.398,0.394,0.414,0.432,0.398,0.43,0.362,0.424,0.392,0.46,0.416,0.416,0.4,0.406,0.378,0.38,0.386,0.418,0.41,0.396,0.396,0.42,0.414,0.37,0.438,0.44,0.392,0.388,0.4,0.416,0.406,0.42,0.438,0.418,0.384,0.448,0.394,0.446,0.43,0.408,0.37,0.428
"6",100,0.492,0.478,0.494,0.474,0.488,0.494,0.472,0.448,0.566,0.474,0.488,0.488,0.508,0.462,0.46,0.494,0.496,0.496,0.472,0.494,0.482,0.49,0.492,0.468,0.44,0.462,0.492,0.486,0.508,0.478,0.464,0.476,0.478,0.486,0.484,0.476,0.476,0.538,0.518,0.526,0.486,0.52,0.476,0.48,0.48,0.494,0.448,0.508,0.482,0.518
"7",150,0.586,0.598,0.606,0.598,0.612,0.574,0.604,0.586,0.614,0.622,0.562,0.588,0.586,0.612,0.57,0.606,0.594,0.588,0.638,0.626,0.584,0.63,0.596,0.564,0.614,0.61,0.572,0.566,0.568,0.56,0.596,0.606,0.624,0.606,0.61,0.604,0.63,0.574,0.544,0.644,0.608,0.59,0.586,0.606,0.572,0.576,0.596,0.644,0.618,0.59
