"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.256,0.238,0.268,0.214,0.238,0.266,0.246,0.27,0.26,0.23,0.238,0.216,0.252,0.226,0.22,0.218,0.236,0.208,0.282,0.282,0.26,0.21,0.24,0.276,0.222,0.226,0.266,0.206,0.26,0.224,0.246,0.238,0.258,0.242,0.242,0.24,0.266,0.258,0.214,0.238,0.266,0.24,0.226,0.216,0.234,0.222,0.262,0.234,0.254,0.234
"2",10,0.316,0.332,0.308,0.36,0.388,0.344,0.306,0.35,0.342,0.346,0.334,0.304,0.36,0.352,0.338,0.346,0.348,0.29,0.362,0.38,0.334,0.344,0.318,0.322,0.29,0.332,0.336,0.34,0.302,0.316,0.314,0.338,0.3,0.32,0.342,0.31,0.302,0.326,0.312,0.306,0.328,0.33,0.374,0.326,0.334,0.336,0.336,0.32,0.282,0.294
"3",25,0.518,0.51,0.53,0.502,0.542,0.526,0.526,0.494,0.554,0.516,0.514,0.506,0.516,0.54,0.512,0.47,0.484,0.484,0.53,0.542,0.524,0.532,0.512,0.48,0.498,0.542,0.528,0.52,0.494,0.524,0.52,0.53,0.524,0.514,0.53,0.514,0.544,0.506,0.514,0.534,0.57,0.534,0.56,0.518,0.506,0.544,0.496,0.498,0.546,0.536
"4",50,0.818,0.798,0.774,0.806,0.814,0.81,0.818,0.794,0.756,0.782,0.798,0.788,0.796,0.818,0.806,0.818,0.772,0.804,0.768,0.798,0.772,0.784,0.75,0.802,0.81,0.782,0.802,0.764,0.804,0.804,0.814,0.792,0.786,0.788,0.814,0.806,0.796,0.804,0.774,0.814,0.792,0.824,0.808,0.792,0.822,0.802,0.82,0.79,0.816,0.786
"5",75,0.936,0.96,0.936,0.926,0.934,0.948,0.932,0.932,0.908,0.948,0.946,0.944,0.932,0.948,0.922,0.938,0.938,0.948,0.938,0.918,0.938,0.96,0.944,0.932,0.932,0.946,0.94,0.93,0.938,0.942,0.932,0.93,0.934,0.928,0.946,0.936,0.932,0.95,0.93,0.928,0.936,0.944,0.944,0.912,0.938,0.936,0.946,0.928,0.954,0.928
"6",100,0.976,0.992,0.978,0.988,0.982,0.976,0.976,0.978,0.98,0.988,0.968,0.978,0.978,0.986,0.988,0.982,0.982,0.978,0.99,0.978,0.98,0.988,0.988,0.988,0.98,0.986,0.972,0.982,0.978,0.984,0.994,0.984,0.974,0.982,0.984,0.976,0.99,0.99,0.972,0.988,0.99,0.988,0.988,0.974,0.992,0.982,0.982,0.99,0.982,0.988
"7",150,1,1,1,1,1,1,1,1,1,0.998,1,1,1,0.998,1,1,1,1,0.998,1,1,1,1,1,0.996,1,1,1,0.998,1,1,1,1,0.998,1,1,0.996,0.996,1,1,1,1,0.998,1,1,1,1,1,1,1
