"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.162,0.164,0.14,0.168,0.172,0.132,0.154,0.142,0.146,0.162,0.132,0.15,0.16,0.134,0.144,0.15,0.148,0.17,0.152,0.142,0.174,0.166,0.15,0.154,0.138,0.154,0.168,0.134,0.148,0.154,0.136,0.152,0.138,0.188,0.136,0.136,0.148,0.148,0.152,0.15,0.154,0.168,0.16,0.152,0.15,0.136,0.154,0.138,0.142,0.148
"2",10,0.158,0.206,0.22,0.176,0.182,0.184,0.18,0.176,0.17,0.172,0.19,0.184,0.178,0.176,0.17,0.152,0.182,0.186,0.192,0.186,0.22,0.174,0.192,0.18,0.224,0.172,0.198,0.156,0.16,0.202,0.182,0.178,0.216,0.186,0.21,0.182,0.19,0.216,0.21,0.196,0.186,0.202,0.178,0.206,0.226,0.206,0.168,0.206,0.182,0.166
"3",25,0.23,0.212,0.236,0.226,0.244,0.236,0.226,0.224,0.254,0.214,0.268,0.242,0.222,0.234,0.216,0.256,0.23,0.228,0.234,0.21,0.242,0.22,0.234,0.236,0.23,0.244,0.244,0.252,0.254,0.226,0.224,0.254,0.232,0.202,0.21,0.232,0.24,0.244,0.248,0.212,0.226,0.264,0.24,0.25,0.25,0.234,0.234,0.258,0.248,0.238
"4",50,0.236,0.28,0.26,0.256,0.286,0.268,0.242,0.25,0.296,0.248,0.256,0.244,0.29,0.262,0.238,0.27,0.248,0.252,0.278,0.244,0.244,0.26,0.25,0.272,0.222,0.256,0.252,0.26,0.236,0.296,0.26,0.252,0.272,0.28,0.27,0.256,0.244,0.26,0.238,0.286,0.298,0.284,0.234,0.284,0.228,0.286,0.26,0.256,0.258,0.268
"5",75,0.262,0.256,0.248,0.266,0.256,0.27,0.244,0.29,0.26,0.266,0.242,0.254,0.292,0.234,0.26,0.26,0.252,0.264,0.25,0.278,0.282,0.262,0.266,0.248,0.26,0.254,0.252,0.278,0.274,0.254,0.274,0.25,0.24,0.252,0.258,0.27,0.28,0.272,0.296,0.272,0.224,0.29,0.274,0.244,0.234,0.268,0.272,0.238,0.268,0.242
"6",100,0.286,0.29,0.278,0.28,0.278,0.242,0.29,0.252,0.252,0.276,0.266,0.254,0.272,0.264,0.256,0.258,0.258,0.25,0.254,0.3,0.278,0.262,0.272,0.286,0.228,0.262,0.3,0.254,0.258,0.256,0.268,0.278,0.242,0.314,0.234,0.254,0.282,0.248,0.272,0.24,0.298,0.24,0.262,0.268,0.246,0.268,0.276,0.254,0.266,0.288
"7",150,0.248,0.294,0.248,0.224,0.248,0.276,0.288,0.288,0.256,0.282,0.286,0.274,0.236,0.268,0.288,0.256,0.27,0.266,0.252,0.24,0.258,0.286,0.288,0.26,0.254,0.274,0.248,0.236,0.278,0.276,0.27,0.264,0.266,0.262,0.278,0.28,0.27,0.25,0.274,0.266,0.272,0.264,0.274,0.258,0.29,0.274,0.284,0.27,0.29,0.288
