"","Sample.Size","Bonferroni","HM","BonGM","Multiple.Gaussian.Kernel","Time...Bonferroni","Time...HM","Time...BonGM","Time...Multiple.Gaussian.Kernel"
"1",50,0,0,0,0.2,6.06536626815796,5.69203495979309,5.49209785461426,5.88722562789917
"2",100,0.01,0.01,0.01,0.28,6.06790947914124,5.84745860099792,5.78176927566528,6.00767517089844
"3",200,0.06,0.05,0.03,0.52,6.56237077713013,7.12126040458679,7.25258922576904,5.98777723312378
"4",300,0.22,0.06,0.05,0.74,6.6491858959198,6.58304858207703,6.60668110847473,7.07237148284912
"5",400,0.22,0.25,0.23,0.82,7.52136993408203,7.87993812561035,7.82324361801147,9.08073091506958
"6",500,0.43,0.43,0.42,0.98,8.69570231437683,8.34121751785278,9.02663612365723,13.568924665451
"7",600,0.69,0.55,0.58,0.98,11.7849249839783,12.0732514858246,11.99134516716,20.8121290206909
"8",700,0.76,0.68,0.61,0.98,15.3671717643738,14.4563615322113,13.5869390964508,27.472678899765
