"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.206,0.22,0.18,0.176,0.206,0.16,0.164,0.186,0.192,0.17,0.186,0.202,0.182,0.18,0.164,0.184,0.176,0.192,0.17,0.148,0.18,0.178,0.186,0.19,0.172,0.2,0.166,0.174,0.188,0.192,0.148,0.172,0.19,0.176,0.196,0.19,0.148,0.168,0.192,0.18,0.19,0.18,0.18,0.18,0.148,0.162,0.206,0.186,0.174,0.144
"2",10,0.286,0.268,0.266,0.238,0.262,0.284,0.252,0.288,0.228,0.274,0.264,0.264,0.286,0.212,0.236,0.284,0.302,0.276,0.274,0.258,0.236,0.242,0.248,0.302,0.264,0.3,0.31,0.272,0.302,0.288,0.304,0.296,0.286,0.292,0.258,0.294,0.268,0.278,0.298,0.242,0.284,0.288,0.292,0.25,0.292,0.264,0.3,0.266,0.276,0.29
"3",25,0.554,0.504,0.506,0.524,0.548,0.476,0.506,0.546,0.52,0.526,0.48,0.514,0.526,0.54,0.52,0.502,0.522,0.51,0.516,0.496,0.522,0.53,0.538,0.518,0.528,0.508,0.514,0.522,0.526,0.522,0.522,0.51,0.476,0.482,0.522,0.522,0.494,0.462,0.508,0.542,0.502,0.52,0.518,0.516,0.53,0.528,0.514,0.508,0.508,0.558
"4",50,0.702,0.734,0.726,0.714,0.702,0.702,0.67,0.68,0.744,0.71,0.748,0.704,0.72,0.688,0.684,0.738,0.714,0.71,0.728,0.742,0.714,0.678,0.708,0.708,0.696,0.708,0.724,0.724,0.73,0.708,0.726,0.724,0.736,0.704,0.702,0.714,0.716,0.718,0.724,0.78,0.716,0.706,0.684,0.724,0.712,0.732,0.756,0.708,0.7,0.728
"5",75,0.768,0.816,0.78,0.818,0.776,0.818,0.802,0.802,0.802,0.804,0.784,0.782,0.786,0.772,0.792,0.798,0.766,0.816,0.796,0.772,0.772,0.792,0.784,0.806,0.782,0.782,0.752,0.78,0.82,0.806,0.794,0.782,0.8,0.808,0.822,0.762,0.814,0.814,0.782,0.79,0.786,0.798,0.77,0.792,0.824,0.808,0.804,0.82,0.794,0.834
"6",100,0.838,0.846,0.84,0.87,0.87,0.858,0.828,0.846,0.846,0.834,0.842,0.86,0.838,0.876,0.86,0.834,0.836,0.816,0.856,0.844,0.824,0.832,0.842,0.838,0.844,0.836,0.83,0.8,0.822,0.824,0.87,0.858,0.856,0.848,0.85,0.84,0.854,0.82,0.86,0.858,0.874,0.838,0.842,0.862,0.826,0.85,0.826,0.826,0.866,0.858
"7",150,0.856,0.872,0.872,0.886,0.842,0.894,0.886,0.906,0.876,0.858,0.894,0.862,0.902,0.864,0.862,0.888,0.874,0.84,0.884,0.872,0.884,0.866,0.902,0.848,0.894,0.898,0.868,0.856,0.876,0.906,0.872,0.872,0.902,0.886,0.87,0.892,0.894,0.9,0.884,0.906,0.866,0.886,0.88,0.872,0.878,0.88,0.892,0.874,0.896,0.878
