"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.154,0.124,0.166,0.122,0.138,0.168,0.14,0.144,0.126,0.148,0.122,0.144,0.13,0.136,0.138,0.156,0.124,0.138,0.116,0.134,0.12,0.148,0.138,0.12,0.15,0.17,0.11,0.132,0.132,0.156,0.138,0.136,0.17,0.166,0.128,0.14,0.144,0.154,0.13,0.146,0.126,0.122,0.138,0.134,0.132,0.17,0.148,0.148,0.14,0.17
"2",10,0.186,0.194,0.144,0.152,0.168,0.204,0.186,0.184,0.146,0.166,0.168,0.16,0.172,0.164,0.15,0.164,0.182,0.2,0.168,0.17,0.14,0.166,0.188,0.174,0.15,0.158,0.14,0.154,0.15,0.18,0.184,0.176,0.164,0.172,0.186,0.184,0.16,0.192,0.188,0.184,0.194,0.2,0.13,0.18,0.158,0.162,0.194,0.174,0.166,0.178
"3",25,0.25,0.252,0.27,0.22,0.264,0.236,0.27,0.24,0.274,0.23,0.258,0.278,0.22,0.244,0.252,0.238,0.24,0.274,0.266,0.246,0.248,0.262,0.24,0.256,0.27,0.254,0.256,0.212,0.242,0.294,0.25,0.272,0.248,0.254,0.246,0.268,0.256,0.238,0.264,0.226,0.254,0.232,0.25,0.252,0.24,0.254,0.232,0.264,0.282,0.302
"4",50,0.334,0.29,0.326,0.342,0.316,0.35,0.338,0.312,0.302,0.328,0.332,0.328,0.35,0.294,0.298,0.346,0.32,0.346,0.334,0.352,0.304,0.358,0.334,0.312,0.314,0.308,0.308,0.336,0.308,0.308,0.33,0.324,0.3,0.348,0.324,0.32,0.35,0.272,0.334,0.34,0.312,0.298,0.376,0.32,0.296,0.304,0.332,0.324,0.336,0.298
"5",75,0.336,0.386,0.37,0.344,0.354,0.378,0.394,0.366,0.394,0.394,0.408,0.384,0.346,0.352,0.388,0.396,0.376,0.384,0.368,0.41,0.394,0.398,0.41,0.344,0.406,0.368,0.356,0.384,0.36,0.382,0.344,0.402,0.404,0.388,0.36,0.368,0.414,0.336,0.378,0.354,0.366,0.396,0.362,0.38,0.376,0.346,0.356,0.382,0.376,0.404
"6",100,0.402,0.396,0.438,0.404,0.404,0.39,0.44,0.43,0.396,0.41,0.408,0.368,0.398,0.35,0.4,0.402,0.402,0.402,0.362,0.42,0.404,0.422,0.416,0.406,0.454,0.406,0.408,0.402,0.402,0.47,0.414,0.438,0.372,0.408,0.368,0.414,0.394,0.434,0.386,0.398,0.394,0.384,0.37,0.41,0.392,0.412,0.396,0.416,0.434,0.45
"7",150,0.482,0.442,0.44,0.488,0.442,0.452,0.438,0.428,0.438,0.482,0.42,0.438,0.448,0.45,0.43,0.416,0.462,0.47,0.432,0.454,0.402,0.468,0.42,0.45,0.438,0.45,0.448,0.484,0.46,0.426,0.448,0.462,0.468,0.446,0.452,0.424,0.39,0.448,0.422,0.426,0.434,0.436,0.48,0.4,0.468,0.44,0.38,0.442,0.468,0.464
