"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.236,0.258,0.222,0.268,0.246,0.21,0.242,0.218,0.262,0.22,0.212,0.236,0.238,0.246,0.234,0.218,0.26,0.204,0.24,0.208,0.248,0.196,0.238,0.218,0.234,0.236,0.21,0.252,0.232,0.194,0.23,0.22,0.242,0.236,0.228,0.22,0.238,0.252,0.25,0.228,0.238,0.21,0.23,0.236,0.234,0.212,0.238,0.226,0.234,0.21
"2",10,0.342,0.35,0.386,0.352,0.374,0.37,0.364,0.346,0.394,0.346,0.358,0.326,0.356,0.352,0.328,0.336,0.358,0.322,0.354,0.306,0.332,0.356,0.31,0.332,0.32,0.33,0.372,0.364,0.334,0.326,0.342,0.366,0.338,0.388,0.372,0.35,0.342,0.33,0.326,0.358,0.316,0.352,0.356,0.394,0.324,0.4,0.338,0.372,0.338,0.35
"3",25,0.564,0.604,0.56,0.594,0.6,0.584,0.598,0.544,0.584,0.54,0.656,0.602,0.606,0.562,0.57,0.588,0.622,0.576,0.556,0.584,0.58,0.558,0.626,0.606,0.59,0.592,0.54,0.628,0.56,0.638,0.604,0.562,0.588,0.568,0.54,0.588,0.576,0.584,0.59,0.586,0.604,0.574,0.604,0.604,0.608,0.59,0.584,0.578,0.556,0.584
"4",50,0.8,0.772,0.804,0.82,0.778,0.802,0.756,0.802,0.758,0.79,0.792,0.778,0.78,0.804,0.794,0.786,0.78,0.802,0.824,0.808,0.79,0.792,0.77,0.804,0.786,0.79,0.822,0.78,0.752,0.77,0.8,0.816,0.778,0.814,0.77,0.824,0.792,0.766,0.784,0.768,0.798,0.806,0.776,0.786,0.764,0.798,0.796,0.782,0.794,0.778
"5",75,0.884,0.872,0.882,0.886,0.87,0.884,0.842,0.86,0.852,0.88,0.884,0.854,0.89,0.892,0.888,0.89,0.864,0.838,0.878,0.87,0.88,0.872,0.868,0.88,0.882,0.884,0.876,0.846,0.846,0.872,0.86,0.896,0.886,0.864,0.87,0.87,0.9,0.858,0.886,0.894,0.874,0.886,0.88,0.87,0.862,0.874,0.878,0.862,0.9,0.902
"6",100,0.94,0.922,0.918,0.93,0.904,0.942,0.928,0.928,0.902,0.928,0.936,0.898,0.918,0.918,0.928,0.91,0.906,0.924,0.92,0.926,0.928,0.924,0.94,0.924,0.922,0.926,0.936,0.926,0.92,0.922,0.922,0.94,0.898,0.924,0.918,0.92,0.932,0.926,0.908,0.932,0.936,0.938,0.914,0.896,0.93,0.918,0.904,0.922,0.882,0.91
"7",150,0.958,0.958,0.944,0.96,0.96,0.966,0.962,0.946,0.948,0.966,0.942,0.926,0.948,0.962,0.948,0.95,0.962,0.954,0.952,0.944,0.968,0.96,0.96,0.966,0.956,0.96,0.962,0.958,0.942,0.968,0.96,0.956,0.94,0.966,0.946,0.948,0.948,0.966,0.966,0.942,0.972,0.956,0.968,0.946,0.976,0.972,0.956,0.97,0.942,0.968
