"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.27,0.242,0.228,0.228,0.204,0.236,0.196,0.24,0.248,0.222,0.238,0.214,0.292,0.242,0.252,0.238,0.22,0.24,0.208,0.208,0.248,0.244,0.244,0.248,0.212,0.188,0.236,0.224,0.208,0.234,0.214,0.198,0.22,0.234,0.24,0.25,0.188,0.23,0.248,0.218,0.2,0.226,0.242,0.246,0.236,0.222,0.29,0.24,0.206,0.238
"2",10,0.362,0.362,0.36,0.346,0.328,0.372,0.386,0.36,0.344,0.356,0.344,0.376,0.366,0.348,0.366,0.376,0.37,0.356,0.402,0.376,0.392,0.35,0.346,0.354,0.392,0.34,0.354,0.346,0.342,0.336,0.366,0.378,0.38,0.362,0.352,0.358,0.366,0.332,0.332,0.35,0.368,0.352,0.322,0.378,0.372,0.398,0.338,0.376,0.382,0.402
"3",25,0.578,0.608,0.658,0.624,0.63,0.624,0.604,0.604,0.63,0.618,0.62,0.606,0.614,0.554,0.642,0.644,0.592,0.638,0.646,0.618,0.62,0.58,0.57,0.686,0.614,0.642,0.596,0.628,0.57,0.58,0.588,0.614,0.558,0.622,0.592,0.618,0.626,0.634,0.58,0.608,0.644,0.582,0.612,0.62,0.616,0.596,0.618,0.57,0.618,0.598
"4",50,0.778,0.806,0.822,0.816,0.812,0.8,0.828,0.792,0.806,0.792,0.812,0.826,0.838,0.812,0.802,0.81,0.804,0.784,0.786,0.838,0.8,0.81,0.826,0.792,0.81,0.804,0.816,0.806,0.85,0.802,0.782,0.808,0.804,0.838,0.814,0.788,0.8,0.842,0.828,0.806,0.804,0.842,0.806,0.798,0.804,0.83,0.808,0.788,0.834,0.794
"5",75,0.904,0.922,0.872,0.886,0.876,0.898,0.884,0.882,0.906,0.874,0.898,0.9,0.874,0.886,0.92,0.894,0.902,0.884,0.894,0.892,0.87,0.916,0.896,0.916,0.896,0.878,0.892,0.888,0.872,0.898,0.908,0.9,0.854,0.9,0.902,0.894,0.9,0.876,0.896,0.892,0.894,0.904,0.9,0.908,0.888,0.9,0.904,0.896,0.904,0.906
"6",100,0.926,0.928,0.934,0.928,0.916,0.91,0.932,0.936,0.944,0.93,0.938,0.928,0.91,0.918,0.928,0.924,0.928,0.92,0.906,0.932,0.916,0.918,0.942,0.928,0.916,0.926,0.928,0.922,0.942,0.928,0.916,0.926,0.928,0.914,0.948,0.936,0.926,0.906,0.93,0.94,0.916,0.932,0.916,0.942,0.922,0.932,0.918,0.926,0.912,0.92
"7",150,0.966,0.964,0.968,0.962,0.962,0.968,0.972,0.956,0.968,0.964,0.974,0.962,0.98,0.962,0.95,0.976,0.966,0.96,0.976,0.956,0.964,0.952,0.962,0.958,0.966,0.952,0.968,0.962,0.968,0.958,0.948,0.954,0.972,0.964,0.97,0.966,0.966,0.956,0.966,0.964,0.964,0.958,0.964,0.968,0.956,0.974,0.97,0.956,0.942,0.958
