"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.102,0.1,0.088,0.116,0.104,0.106,0.114,0.098,0.1,0.104,0.108,0.082,0.1,0.098,0.096,0.082,0.094,0.096,0.102,0.088,0.106,0.114,0.086,0.092,0.092,0.14,0.116,0.082,0.108,0.116,0.088,0.074,0.108,0.106,0.092,0.114,0.086,0.066,0.1,0.094,0.096,0.092,0.09,0.092,0.11,0.094,0.104,0.096,0.096,0.096
"2",10,0.094,0.082,0.108,0.096,0.092,0.1,0.098,0.106,0.088,0.13,0.09,0.102,0.11,0.076,0.082,0.092,0.072,0.072,0.078,0.1,0.09,0.11,0.066,0.096,0.122,0.102,0.144,0.106,0.104,0.092,0.074,0.11,0.11,0.092,0.072,0.098,0.106,0.09,0.094,0.08,0.088,0.094,0.104,0.108,0.102,0.096,0.112,0.072,0.082,0.104
"3",25,0.076,0.084,0.08,0.09,0.104,0.096,0.084,0.074,0.078,0.076,0.076,0.086,0.094,0.128,0.09,0.08,0.084,0.056,0.092,0.068,0.074,0.098,0.084,0.074,0.088,0.088,0.07,0.078,0.096,0.088,0.074,0.068,0.09,0.076,0.062,0.08,0.084,0.084,0.076,0.09,0.098,0.108,0.086,0.082,0.066,0.1,0.082,0.078,0.09,0.084
"4",50,0.068,0.07,0.062,0.064,0.056,0.06,0.074,0.068,0.068,0.064,0.07,0.07,0.084,0.05,0.066,0.066,0.084,0.088,0.082,0.08,0.094,0.074,0.09,0.06,0.074,0.072,0.074,0.082,0.094,0.05,0.068,0.064,0.066,0.058,0.066,0.072,0.09,0.08,0.08,0.076,0.062,0.074,0.078,0.05,0.06,0.064,0.07,0.052,0.056,0.072
"5",75,0.07,0.062,0.062,0.086,0.064,0.076,0.062,0.094,0.038,0.052,0.052,0.066,0.078,0.05,0.066,0.058,0.058,0.062,0.084,0.078,0.08,0.068,0.074,0.056,0.078,0.072,0.058,0.076,0.058,0.06,0.066,0.078,0.06,0.052,0.084,0.082,0.076,0.062,0.048,0.072,0.072,0.064,0.06,0.066,0.066,0.068,0.08,0.05,0.07,0.072
"6",100,0.074,0.066,0.058,0.076,0.076,0.06,0.064,0.062,0.054,0.074,0.062,0.066,0.054,0.07,0.062,0.056,0.052,0.072,0.07,0.066,0.062,0.048,0.06,0.074,0.07,0.048,0.056,0.062,0.052,0.072,0.074,0.072,0.074,0.078,0.07,0.074,0.046,0.072,0.074,0.06,0.062,0.068,0.068,0.054,0.052,0.056,0.062,0.072,0.07,0.056
"7",150,0.07,0.062,0.076,0.056,0.08,0.05,0.05,0.06,0.064,0.078,0.06,0.064,0.052,0.062,0.074,0.062,0.07,0.058,0.044,0.062,0.054,0.06,0.07,0.062,0.066,0.052,0.078,0.074,0.054,0.066,0.058,0.082,0.064,0.068,0.056,0.074,0.088,0.068,0.058,0.074,0.074,0.07,0.078,0.054,0.036,0.052,0.07,0.066,0.062,0.072
