"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.098,0.098,0.096,0.092,0.108,0.104,0.112,0.092,0.086,0.122,0.096,0.094,0.074,0.104,0.086,0.086,0.094,0.076,0.104,0.096,0.114,0.088,0.096,0.11,0.1,0.128,0.068,0.102,0.082,0.098,0.106,0.09,0.08,0.122,0.096,0.092,0.088,0.092,0.102,0.094,0.076,0.074,0.094,0.094,0.088,0.108,0.086,0.11,0.114,0.098
"2",10,0.102,0.102,0.126,0.132,0.12,0.132,0.142,0.106,0.116,0.104,0.106,0.096,0.13,0.102,0.116,0.108,0.09,0.12,0.112,0.108,0.106,0.12,0.102,0.122,0.098,0.104,0.122,0.112,0.11,0.1,0.096,0.09,0.126,0.1,0.108,0.092,0.116,0.132,0.106,0.096,0.108,0.12,0.116,0.12,0.118,0.136,0.114,0.12,0.1,0.108
"3",25,0.136,0.14,0.136,0.144,0.16,0.132,0.15,0.112,0.158,0.106,0.116,0.12,0.14,0.156,0.136,0.14,0.148,0.138,0.122,0.138,0.14,0.112,0.12,0.132,0.12,0.134,0.138,0.122,0.166,0.128,0.144,0.108,0.122,0.116,0.17,0.148,0.142,0.094,0.14,0.132,0.156,0.144,0.13,0.124,0.116,0.148,0.114,0.124,0.15,0.12
"4",50,0.136,0.128,0.128,0.142,0.146,0.11,0.11,0.138,0.128,0.138,0.132,0.134,0.132,0.15,0.114,0.112,0.12,0.112,0.132,0.164,0.112,0.136,0.124,0.108,0.14,0.136,0.132,0.12,0.124,0.132,0.124,0.138,0.13,0.12,0.146,0.138,0.102,0.122,0.138,0.128,0.118,0.108,0.13,0.134,0.11,0.128,0.128,0.144,0.102,0.134
"5",75,0.118,0.116,0.144,0.142,0.138,0.114,0.11,0.138,0.108,0.146,0.132,0.108,0.134,0.112,0.108,0.142,0.146,0.11,0.138,0.128,0.106,0.108,0.128,0.13,0.12,0.124,0.134,0.136,0.124,0.12,0.098,0.116,0.144,0.13,0.11,0.13,0.128,0.122,0.11,0.146,0.11,0.118,0.118,0.128,0.118,0.1,0.126,0.096,0.124,0.118
"6",100,0.148,0.096,0.12,0.132,0.128,0.098,0.1,0.108,0.122,0.106,0.102,0.122,0.134,0.108,0.11,0.09,0.118,0.134,0.118,0.124,0.098,0.112,0.11,0.112,0.114,0.106,0.12,0.084,0.12,0.116,0.098,0.112,0.124,0.088,0.102,0.126,0.13,0.11,0.108,0.124,0.1,0.104,0.102,0.112,0.116,0.114,0.118,0.12,0.1,0.13
"7",150,0.098,0.1,0.122,0.106,0.11,0.088,0.108,0.08,0.11,0.086,0.09,0.096,0.086,0.116,0.102,0.086,0.1,0.11,0.084,0.094,0.09,0.104,0.102,0.104,0.092,0.09,0.098,0.102,0.086,0.118,0.102,0.094,0.112,0.09,0.102,0.096,0.114,0.104,0.086,0.1,0.086,0.12,0.102,0.088,0.094,0.094,0.094,0.098,0.098,0.106
