"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.196,0.192,0.198,0.214,0.23,0.196,0.182,0.202,0.178,0.188,0.212,0.248,0.212,0.212,0.224,0.218,0.192,0.184,0.2,0.212,0.206,0.226,0.202,0.184,0.184,0.21,0.208,0.204,0.21,0.242,0.22,0.242,0.198,0.19,0.24,0.208,0.224,0.244,0.202,0.206,0.202,0.226,0.214,0.2,0.202,0.236,0.212,0.206,0.224,0.204
"2",10,0.32,0.316,0.32,0.282,0.342,0.34,0.314,0.296,0.316,0.32,0.336,0.276,0.274,0.322,0.318,0.322,0.356,0.326,0.358,0.328,0.302,0.354,0.342,0.306,0.34,0.312,0.314,0.33,0.316,0.33,0.282,0.324,0.34,0.302,0.336,0.312,0.33,0.294,0.328,0.314,0.32,0.33,0.292,0.332,0.344,0.324,0.322,0.364,0.302,0.338
"3",25,0.506,0.488,0.502,0.512,0.542,0.49,0.468,0.486,0.51,0.482,0.52,0.502,0.466,0.506,0.534,0.464,0.488,0.508,0.522,0.504,0.516,0.496,0.49,0.462,0.494,0.502,0.502,0.478,0.506,0.464,0.482,0.536,0.504,0.498,0.5,0.52,0.472,0.522,0.538,0.506,0.482,0.514,0.518,0.484,0.514,0.532,0.522,0.446,0.516,0.53
"4",50,0.638,0.64,0.658,0.602,0.67,0.618,0.634,0.642,0.632,0.604,0.632,0.622,0.638,0.654,0.618,0.66,0.61,0.658,0.658,0.628,0.66,0.64,0.63,0.618,0.586,0.63,0.608,0.646,0.614,0.614,0.618,0.626,0.646,0.632,0.64,0.618,0.62,0.658,0.656,0.616,0.618,0.654,0.622,0.608,0.62,0.604,0.608,0.624,0.638,0.602
"5",75,0.692,0.712,0.674,0.688,0.668,0.69,0.682,0.734,0.668,0.696,0.674,0.682,0.674,0.7,0.688,0.674,0.71,0.662,0.664,0.672,0.712,0.704,0.644,0.674,0.7,0.71,0.676,0.682,0.734,0.686,0.69,0.676,0.68,0.7,0.632,0.726,0.702,0.696,0.664,0.708,0.704,0.718,0.65,0.716,0.74,0.712,0.654,0.694,0.676,0.692
"6",100,0.722,0.71,0.76,0.706,0.7,0.734,0.72,0.75,0.706,0.736,0.73,0.718,0.808,0.726,0.664,0.72,0.742,0.722,0.7,0.76,0.732,0.678,0.754,0.702,0.696,0.752,0.738,0.684,0.742,0.734,0.734,0.682,0.71,0.69,0.742,0.736,0.722,0.694,0.714,0.724,0.72,0.73,0.728,0.698,0.75,0.724,0.73,0.742,0.71,0.704
"7",150,0.74,0.76,0.75,0.758,0.762,0.772,0.768,0.726,0.752,0.758,0.796,0.774,0.782,0.782,0.732,0.752,0.78,0.758,0.762,0.732,0.766,0.774,0.756,0.766,0.79,0.722,0.752,0.77,0.716,0.746,0.764,0.728,0.724,0.744,0.722,0.74,0.75,0.712,0.796,0.77,0.718,0.804,0.746,0.76,0.756,0.722,0.754,0.778,0.8,0.744
