"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.108,0.112,0.14,0.112,0.13,0.114,0.13,0.114,0.114,0.134,0.124,0.114,0.122,0.126,0.136,0.122,0.134,0.124,0.124,0.144,0.12,0.134,0.114,0.134,0.14,0.13,0.134,0.126,0.134,0.144,0.124,0.132,0.164,0.108,0.114,0.126,0.106,0.134,0.146,0.158,0.124,0.142,0.136,0.136,0.128,0.092,0.152,0.106,0.128,0.114
"2",10,0.176,0.184,0.16,0.18,0.148,0.182,0.186,0.164,0.146,0.18,0.162,0.142,0.174,0.162,0.14,0.158,0.178,0.138,0.174,0.18,0.154,0.184,0.164,0.144,0.15,0.168,0.156,0.158,0.152,0.158,0.154,0.166,0.15,0.17,0.158,0.148,0.134,0.184,0.15,0.138,0.14,0.124,0.172,0.172,0.184,0.154,0.148,0.188,0.138,0.166
"3",25,0.194,0.218,0.176,0.19,0.214,0.218,0.206,0.198,0.22,0.19,0.226,0.214,0.232,0.22,0.224,0.212,0.198,0.21,0.204,0.224,0.248,0.232,0.19,0.19,0.214,0.206,0.19,0.196,0.19,0.218,0.194,0.178,0.21,0.226,0.22,0.188,0.214,0.188,0.198,0.172,0.176,0.186,0.21,0.224,0.19,0.224,0.214,0.202,0.228,0.204
"4",50,0.25,0.218,0.266,0.242,0.214,0.204,0.238,0.216,0.23,0.21,0.214,0.246,0.238,0.204,0.24,0.256,0.24,0.228,0.236,0.204,0.248,0.216,0.236,0.232,0.204,0.224,0.262,0.27,0.238,0.214,0.216,0.226,0.244,0.246,0.232,0.278,0.238,0.236,0.216,0.23,0.254,0.216,0.222,0.236,0.266,0.224,0.246,0.24,0.252,0.238
"5",75,0.286,0.244,0.276,0.242,0.27,0.252,0.24,0.246,0.244,0.25,0.246,0.3,0.204,0.228,0.236,0.254,0.254,0.254,0.244,0.228,0.228,0.272,0.224,0.272,0.218,0.228,0.242,0.212,0.262,0.256,0.22,0.224,0.212,0.21,0.262,0.24,0.28,0.248,0.264,0.236,0.202,0.262,0.266,0.228,0.254,0.272,0.226,0.24,0.204,0.258
"6",100,0.236,0.264,0.272,0.24,0.248,0.272,0.25,0.238,0.268,0.238,0.248,0.218,0.234,0.286,0.242,0.254,0.246,0.244,0.268,0.27,0.242,0.206,0.286,0.236,0.26,0.276,0.232,0.252,0.25,0.26,0.286,0.274,0.222,0.27,0.264,0.25,0.25,0.256,0.264,0.272,0.222,0.23,0.27,0.264,0.242,0.262,0.24,0.29,0.286,0.25
"7",150,0.276,0.26,0.26,0.26,0.254,0.254,0.224,0.244,0.256,0.26,0.242,0.258,0.276,0.24,0.288,0.214,0.226,0.264,0.282,0.264,0.27,0.24,0.222,0.248,0.262,0.236,0.252,0.254,0.262,0.254,0.288,0.232,0.27,0.236,0.232,0.264,0.278,0.25,0.258,0.284,0.238,0.276,0.262,0.268,0.252,0.236,0.276,0.276,0.27,0.27
