"","p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.372,0.374,0.41,0.372,0.418,0.376,0.366,0.35,0.384,0.382,0.37,0.356,0.376,0.348,0.37,0.392,0.368,0.376,0.402,0.384,0.326,0.37,0.396,0.41,0.378,0.388,0.382,0.402,0.392,0.42,0.372,0.382,0.376,0.374,0.386,0.404,0.342,0.376,0.386,0.42,0.386,0.382,0.388,0.4,0.374,0.372,0.396,0.398,0.382,0.408
"2",0.2,0.354,0.372,0.37,0.366,0.392,0.428,0.37,0.392,0.398,0.382,0.41,0.346,0.412,0.362,0.326,0.404,0.396,0.372,0.356,0.388,0.426,0.366,0.398,0.396,0.402,0.386,0.364,0.42,0.394,0.38,0.394,0.408,0.354,0.384,0.352,0.362,0.388,0.392,0.364,0.39,0.386,0.358,0.35,0.404,0.372,0.378,0.394,0.36,0.406,0.39
"3",0.4,0.378,0.396,0.356,0.378,0.358,0.344,0.36,0.352,0.388,0.342,0.388,0.358,0.402,0.358,0.364,0.396,0.358,0.342,0.354,0.364,0.398,0.39,0.352,0.384,0.372,0.388,0.354,0.396,0.374,0.388,0.338,0.378,0.362,0.37,0.368,0.358,0.33,0.384,0.374,0.368,0.368,0.368,0.386,0.344,0.336,0.368,0.358,0.362,0.342,0.368
"4",0.6,0.35,0.344,0.386,0.37,0.362,0.368,0.33,0.382,0.356,0.376,0.366,0.36,0.36,0.352,0.366,0.344,0.362,0.362,0.366,0.366,0.31,0.34,0.334,0.366,0.358,0.374,0.402,0.362,0.35,0.382,0.382,0.338,0.39,0.374,0.346,0.354,0.368,0.388,0.354,0.362,0.366,0.376,0.342,0.328,0.398,0.362,0.334,0.366,0.412,0.334
"5",0.8,0.406,0.338,0.326,0.316,0.38,0.336,0.388,0.346,0.358,0.346,0.332,0.342,0.318,0.352,0.336,0.356,0.348,0.346,0.366,0.362,0.36,0.374,0.37,0.332,0.34,0.364,0.354,0.348,0.378,0.324,0.354,0.358,0.354,0.35,0.368,0.344,0.334,0.326,0.344,0.372,0.36,0.376,0.334,0.35,0.34,0.37,0.38,0.346,0.398,0.368
"6",1,0.316,0.31,0.388,0.34,0.292,0.356,0.314,0.314,0.388,0.318,0.37,0.32,0.336,0.34,0.352,0.344,0.342,0.328,0.342,0.346,0.364,0.354,0.364,0.348,0.318,0.342,0.338,0.36,0.352,0.33,0.328,0.348,0.34,0.338,0.342,0.312,0.348,0.346,0.322,0.3,0.342,0.344,0.37,0.35,0.376,0.39,0.332,0.342,0.362,0.328
