"","p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.94,0.928,0.93,0.934,0.914,0.92,0.928,0.928,0.926,0.92,0.936,0.938,0.93,0.918,0.916,0.916,0.926,0.932,0.92,0.914,0.916,0.92,0.942,0.922,0.928,0.928,0.946,0.938,0.938,0.922,0.936,0.926,0.934,0.934,0.938,0.924,0.912,0.936,0.928,0.932,0.91,0.926,0.938,0.914,0.924,0.932,0.934,0.92,0.94,0.934
"2",0.2,0.806,0.836,0.848,0.866,0.858,0.818,0.856,0.83,0.874,0.886,0.868,0.848,0.846,0.858,0.852,0.842,0.814,0.846,0.852,0.862,0.832,0.872,0.858,0.836,0.866,0.832,0.86,0.874,0.864,0.828,0.846,0.864,0.812,0.872,0.868,0.854,0.846,0.862,0.866,0.84,0.852,0.83,0.848,0.84,0.828,0.874,0.876,0.86,0.858,0.858
"3",0.4,0.762,0.8,0.806,0.778,0.784,0.778,0.778,0.764,0.804,0.802,0.782,0.77,0.778,0.76,0.78,0.806,0.772,0.768,0.776,0.776,0.772,0.764,0.766,0.786,0.796,0.772,0.748,0.76,0.782,0.78,0.774,0.806,0.764,0.818,0.778,0.792,0.774,0.744,0.782,0.788,0.756,0.778,0.788,0.768,0.772,0.754,0.78,0.78,0.764,0.768
"4",0.6,0.698,0.702,0.724,0.736,0.694,0.744,0.736,0.702,0.74,0.738,0.73,0.718,0.748,0.71,0.702,0.714,0.732,0.714,0.736,0.672,0.748,0.704,0.706,0.714,0.66,0.708,0.722,0.71,0.716,0.76,0.73,0.742,0.744,0.708,0.704,0.726,0.71,0.746,0.722,0.722,0.732,0.726,0.728,0.748,0.692,0.73,0.726,0.736,0.69,0.714
"5",0.8,0.652,0.664,0.652,0.646,0.664,0.68,0.654,0.65,0.688,0.66,0.686,0.676,0.644,0.646,0.638,0.646,0.654,0.692,0.652,0.708,0.648,0.634,0.642,0.664,0.632,0.662,0.706,0.65,0.644,0.688,0.664,0.654,0.698,0.678,0.65,0.666,0.652,0.656,0.664,0.648,0.638,0.682,0.668,0.648,0.68,0.64,0.674,0.66,0.676,0.668
"6",1,0.566,0.606,0.6,0.604,0.628,0.612,0.602,0.626,0.612,0.652,0.606,0.656,0.642,0.592,0.624,0.628,0.57,0.584,0.538,0.626,0.588,0.656,0.616,0.646,0.64,0.628,0.644,0.608,0.598,0.652,0.58,0.6,0.614,0.632,0.638,0.642,0.59,0.604,0.594,0.632,0.634,0.604,0.618,0.646,0.644,0.634,0.602,0.628,0.644,0.638
