"","p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.918,0.924,0.922,0.92,0.904,0.932,0.922,0.91,0.936,0.916,0.92,0.932,0.914,0.94,0.916,0.918,0.902,0.942,0.934,0.948,0.93,0.93,0.918,0.93,0.932,0.922,0.92,0.918,0.92,0.918,0.914,0.912,0.92,0.922,0.914,0.924,0.94,0.944,0.924,0.922,0.928,0.918,0.92,0.936,0.93,0.916,0.938,0.918,0.914,0.928
"2",0.2,0.788,0.828,0.824,0.82,0.814,0.856,0.81,0.798,0.836,0.808,0.838,0.804,0.824,0.818,0.824,0.848,0.818,0.832,0.802,0.812,0.812,0.828,0.826,0.804,0.83,0.8,0.83,0.848,0.81,0.808,0.806,0.82,0.824,0.81,0.81,0.776,0.794,0.794,0.82,0.834,0.814,0.844,0.784,0.838,0.792,0.784,0.822,0.838,0.802,0.792
"3",0.4,0.742,0.756,0.718,0.704,0.752,0.73,0.744,0.73,0.718,0.762,0.704,0.718,0.736,0.728,0.752,0.756,0.742,0.758,0.732,0.698,0.746,0.736,0.732,0.754,0.696,0.726,0.702,0.686,0.72,0.74,0.748,0.726,0.764,0.738,0.732,0.732,0.722,0.722,0.69,0.73,0.72,0.732,0.74,0.712,0.708,0.704,0.728,0.714,0.706,0.72
"4",0.6,0.632,0.652,0.652,0.654,0.63,0.674,0.682,0.664,0.65,0.666,0.648,0.652,0.652,0.634,0.706,0.66,0.672,0.608,0.656,0.65,0.658,0.654,0.662,0.63,0.65,0.67,0.664,0.604,0.662,0.648,0.666,0.708,0.648,0.584,0.666,0.666,0.676,0.654,0.664,0.65,0.678,0.618,0.624,0.672,0.66,0.646,0.628,0.65,0.652,0.644
"5",0.8,0.622,0.586,0.59,0.618,0.564,0.55,0.578,0.566,0.63,0.626,0.612,0.582,0.606,0.56,0.568,0.586,0.606,0.58,0.606,0.612,0.554,0.58,0.586,0.616,0.594,0.578,0.62,0.624,0.6,0.586,0.604,0.57,0.606,0.582,0.566,0.58,0.626,0.588,0.612,0.61,0.588,0.584,0.542,0.592,0.576,0.572,0.576,0.636,0.584,0.576
"6",1,0.542,0.542,0.568,0.566,0.548,0.592,0.512,0.516,0.548,0.552,0.556,0.556,0.596,0.554,0.526,0.54,0.548,0.552,0.56,0.556,0.59,0.516,0.54,0.538,0.582,0.558,0.542,0.524,0.536,0.584,0.56,0.566,0.524,0.546,0.598,0.55,0.538,0.524,0.564,0.558,0.558,0.564,0.522,0.558,0.532,0.49,0.522,0.512,0.578,0.56
