"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",2,0.996,0.996,0.996,0.994,0.996,0.994,0.994,1,0.996,0.992,0.998,0.994,0.998,0.99,1,1,0.996,0.994,0.996,0.996,0.996,0.994,0.994,0.996,0.994,0.996,0.99,0.996,0.998,0.998
"3",3,0.896,0.888,0.916,0.882,0.902,0.902,0.9,0.896,0.896,0.914,0.866,0.908,0.9,0.902,0.912,0.9,0.928,0.9,0.916,0.876,0.914,0.896,0.906,0.91,0.89,0.886,0.888,0.922,0.94,0.928
"4",4,0.75,0.776,0.732,0.738,0.792,0.734,0.762,0.768,0.736,0.762,0.758,0.774,0.724,0.744,0.778,0.78,0.782,0.764,0.756,0.76,0.728,0.768,0.78,0.738,0.768,0.758,0.75,0.766,0.774,0.766
"5",5,0.596,0.578,0.552,0.576,0.55,0.596,0.588,0.584,0.588,0.568,0.572,0.56,0.564,0.59,0.588,0.576,0.546,0.596,0.554,0.59,0.562,0.556,0.58,0.59,0.568,0.588,0.584,0.538,0.578,0.568
