"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",2,0.994,0.998,0.996,0.994,0.992,0.99,0.996,0.998,0.994,0.99,0.998,0.994,0.996,0.99,0.996,1,0.988,0.992,0.994,0.996,0.992,0.994,0.99,0.992,0.99,0.994,0.99,0.994,0.998,0.998
"3",3,0.878,0.882,0.882,0.876,0.878,0.898,0.876,0.882,0.87,0.894,0.86,0.874,0.868,0.878,0.894,0.896,0.9,0.882,0.908,0.862,0.896,0.886,0.884,0.898,0.87,0.87,0.86,0.906,0.908,0.902
"4",4,0.722,0.746,0.694,0.71,0.76,0.708,0.722,0.732,0.704,0.75,0.706,0.736,0.69,0.706,0.724,0.74,0.76,0.744,0.73,0.708,0.698,0.732,0.744,0.716,0.748,0.718,0.736,0.736,0.732,0.732
"5",5,0.566,0.548,0.524,0.538,0.51,0.564,0.546,0.562,0.538,0.53,0.548,0.548,0.542,0.544,0.558,0.534,0.504,0.552,0.53,0.568,0.544,0.526,0.544,0.54,0.542,0.556,0.558,0.506,0.538,0.532
