"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",1,0.96,0.954,0.954,0.954,0.96,0.958,0.95,0.938,0.94,0.938,0.964,0.952,0.954,0.942,0.966,0.958,0.95,0.958,0.956,0.95,0.952,0.956,0.95,0.944,0.956,0.94,0.952,0.95,0.942,0.948
"2",2,0.452,0.434,0.406,0.434,0.466,0.388,0.424,0.434,0.414,0.422,0.362,0.398,0.398,0.4,0.406,0.416,0.412,0.384,0.4,0.422,0.4,0.424,0.384,0.42,0.438,0.418,0.416,0.474,0.41,0.418
"3",3,0.102,0.124,0.152,0.09,0.102,0.116,0.116,0.118,0.084,0.09,0.106,0.078,0.1,0.114,0.086,0.138,0.106,0.122,0.118,0.11,0.11,0.114,0.11,0.12,0.104,0.118,0.094,0.104,0.118,0.124
"4",4,0.03,0.02,0.034,0.012,0.03,0.02,0.032,0.02,0.042,0.018,0.014,0.024,0.036,0.034,0.032,0.026,0.024,0.036,0.024,0.03,0.02,0.016,0.026,0.032,0.016,0.038,0.028,0.028,0.036,0.02
"5",5,0.01,0.004,0.002,0.006,0.014,0.016,0.014,0.002,0.008,0.006,0.022,0.008,0.004,0.012,0.008,0.014,0.01,0.014,0.008,0.01,0.01,0.008,0.008,0.018,0.006,0.018,0.006,0.006,0.016,0.008
