"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",1,1,1,0.998,1,1,1,0.998,1,1,1,1,1,0.998,1,1,1,0.998,1,1,1,1,0.998,1,1,1,0.998,1,1,1,1
"2",2,0.934,0.936,0.928,0.934,0.918,0.916,0.934,0.928,0.918,0.922,0.924,0.92,0.93,0.93,0.928,0.94,0.932,0.908,0.922,0.934,0.934,0.93,0.922,0.924,0.904,0.942,0.95,0.948,0.92,0.94
"3",3,0.638,0.664,0.688,0.7,0.654,0.64,0.628,0.652,0.628,0.64,0.658,0.646,0.65,0.654,0.652,0.64,0.642,0.674,0.664,0.66,0.65,0.662,0.656,0.69,0.644,0.656,0.624,0.67,0.63,0.672
"4",4,0.396,0.376,0.42,0.4,0.44,0.368,0.402,0.374,0.396,0.398,0.372,0.416,0.398,0.398,0.39,0.386,0.4,0.442,0.402,0.428,0.368,0.436,0.394,0.406,0.366,0.408,0.386,0.418,0.402,0.406
"5",5,0.242,0.208,0.184,0.174,0.214,0.25,0.224,0.204,0.21,0.21,0.21,0.212,0.204,0.216,0.218,0.238,0.21,0.226,0.224,0.228,0.21,0.194,0.242,0.232,0.232,0.25,0.242,0.22,0.236,0.25
