"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",2,0.964,0.942,0.968,0.958,0.968,0.946,0.956,0.96,0.95,0.956,0.95,0.948,0.952,0.962,0.956,0.952,0.962,0.964,0.96,0.954,0.958,0.94,0.964,0.954,0.944,0.958,0.956,0.958,0.954,0.952
"3",3,0.868,0.854,0.866,0.87,0.836,0.85,0.88,0.842,0.844,0.836,0.862,0.84,0.84,0.846,0.878,0.856,0.864,0.84,0.83,0.868,0.848,0.874,0.83,0.882,0.886,0.856,0.854,0.834,0.83,0.842
"4",4,0.696,0.714,0.706,0.716,0.708,0.682,0.726,0.716,0.72,0.712,0.712,0.7,0.718,0.678,0.73,0.746,0.71,0.694,0.656,0.7,0.712,0.69,0.738,0.71,0.672,0.708,0.708,0.67,0.724,0.694
"5",5,0.54,0.53,0.59,0.558,0.538,0.568,0.606,0.552,0.568,0.604,0.576,0.564,0.584,0.582,0.586,0.608,0.542,0.554,0.574,0.616,0.586,0.54,0.576,0.588,0.584,0.562,0.532,0.61,0.542,0.57
