"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",50,1,0.996,0.998,0.996,0.996,1,0.996,0.996,0.998,1,1,0.996,0.998,0.996,0.998,1,0.998,1,1,0.996,1,1,1,0.998,0.998,0.99,1,0.996,1,0.998,0.996,0.998,1,0.998,1,0.998,0.994,0.996,0.994,0.998,0.996,1,0.998,0.998,0.994,0.994,0.998,0.998,0.998,1
"3",100,0.968,0.96,0.966,0.966,0.97,0.976,0.978,0.972,0.978,0.964,0.956,0.978,0.984,0.966,0.974,0.97,0.99,0.98,0.966,0.976,0.964,0.964,0.968,0.98,0.968,0.966,0.962,0.96,0.964,0.97,0.956,0.978,0.962,0.974,0.966,0.97,0.962,0.958,0.966,0.972,0.988,0.986,0.964,0.962,0.976,0.982,0.972,0.964,0.964,0.974
"4",150,0.918,0.91,0.916,0.898,0.9,0.902,0.924,0.926,0.928,0.9,0.906,0.902,0.924,0.912,0.892,0.9,0.914,0.894,0.926,0.91,0.89,0.918,0.916,0.92,0.906,0.922,0.906,0.908,0.918,0.918,0.934,0.902,0.916,0.902,0.904,0.914,0.902,0.894,0.914,0.904,0.918,0.914,0.92,0.91,0.9,0.916,0.93,0.898,0.926,0.892
"5",200,0.844,0.816,0.812,0.846,0.816,0.8,0.822,0.798,0.848,0.83,0.834,0.818,0.844,0.874,0.838,0.79,0.81,0.856,0.816,0.836,0.834,0.82,0.864,0.822,0.858,0.844,0.8,0.826,0.826,0.812,0.818,0.844,0.822,0.848,0.856,0.84,0.856,0.834,0.836,0.808,0.822,0.816,0.828,0.834,0.8,0.834,0.834,0.852,0.824,0.814
"6",250,0.776,0.732,0.738,0.766,0.718,0.762,0.728,0.786,0.71,0.776,0.75,0.752,0.754,0.798,0.738,0.74,0.742,0.77,0.75,0.79,0.748,0.782,0.728,0.726,0.732,0.75,0.738,0.732,0.742,0.732,0.732,0.72,0.736,0.782,0.728,0.754,0.794,0.736,0.758,0.752,0.73,0.706,0.792,0.75,0.734,0.742,0.76,0.734,0.716,0.772
"7",300,0.692,0.646,0.682,0.65,0.676,0.642,0.714,0.666,0.682,0.67,0.682,0.666,0.722,0.644,0.69,0.696,0.658,0.7,0.666,0.65,0.62,0.658,0.656,0.668,0.654,0.696,0.666,0.68,0.644,0.686,0.672,0.694,0.668,0.682,0.65,0.688,0.67,0.65,0.676,0.644,0.662,0.704,0.654,0.688,0.666,0.696,0.662,0.69,0.664,0.706
