"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",50,0.994,0.998,0.996,0.996,0.996,0.996,0.994,0.996,0.994,0.996,0.998,0.998,1,0.996,0.998,0.998,0.996,0.994,0.988,0.998,0.994,1,1,0.992,1,0.992,0.998,0.998,0.998,0.992,0.996,0.996,0.996,0.996,0.992,0.994,0.998,1,0.996,0.998,0.996,1,1,0.99,0.996,1,0.996,0.998,1,0.996
"3",100,0.912,0.872,0.908,0.904,0.904,0.904,0.89,0.88,0.914,0.906,0.88,0.902,0.902,0.932,0.912,0.882,0.908,0.886,0.896,0.902,0.902,0.89,0.888,0.898,0.9,0.914,0.89,0.902,0.914,0.884,0.9,0.92,0.922,0.882,0.914,0.908,0.9,0.918,0.898,0.916,0.89,0.928,0.904,0.886,0.91,0.884,0.92,0.89,0.926,0.906
"4",150,0.602,0.622,0.638,0.606,0.638,0.612,0.634,0.626,0.642,0.606,0.642,0.63,0.612,0.622,0.6,0.594,0.598,0.598,0.576,0.62,0.614,0.608,0.588,0.622,0.626,0.608,0.588,0.584,0.642,0.69,0.608,0.594,0.586,0.628,0.62,0.638,0.598,0.596,0.634,0.626,0.594,0.63,0.6,0.626,0.594,0.638,0.598,0.586,0.634,0.632
"5",200,0.286,0.324,0.304,0.288,0.282,0.326,0.304,0.308,0.328,0.318,0.326,0.306,0.328,0.334,0.304,0.326,0.314,0.318,0.332,0.3,0.316,0.324,0.29,0.322,0.31,0.288,0.304,0.316,0.334,0.352,0.33,0.308,0.3,0.314,0.322,0.292,0.326,0.302,0.324,0.348,0.276,0.334,0.328,0.332,0.35,0.304,0.308,0.31,0.324,0.304
"6",250,0.12,0.118,0.118,0.162,0.148,0.126,0.104,0.152,0.128,0.144,0.132,0.138,0.136,0.154,0.104,0.13,0.124,0.124,0.13,0.106,0.122,0.136,0.142,0.162,0.162,0.16,0.14,0.164,0.124,0.124,0.116,0.134,0.132,0.146,0.144,0.138,0.118,0.124,0.136,0.13,0.126,0.132,0.138,0.116,0.134,0.154,0.13,0.14,0.13,0.138
"7",300,0.054,0.06,0.048,0.058,0.048,0.028,0.042,0.054,0.038,0.044,0.062,0.054,0.04,0.032,0.038,0.046,0.056,0.052,0.052,0.054,0.056,0.062,0.04,0.04,0.036,0.04,0.05,0.042,0.06,0.04,0.054,0.04,0.044,0.04,0.038,0.048,0.048,0.042,0.04,0.038,0.052,0.052,0.05,0.042,0.036,0.052,0.04,0.048,0.038,0.04
