"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",50,1,1,1,0.998,0.996,1,0.998,1,1,1,1,0.998,1,1,0.998,0.998,1,1,0.998,0.996,0.998,1,1,0.998,1,0.996,0.996,1,0.998,0.996,1,1,0.994,0.996,1,0.998,0.998,1,1,0.998,1,0.998,1,0.998,0.994,1,1,0.996,0.998,1
"3",100,0.988,0.976,0.98,0.972,0.966,0.982,0.992,0.976,0.974,0.982,0.98,0.982,0.984,0.978,0.98,0.98,0.966,0.984,0.984,0.98,0.986,0.978,0.984,0.98,0.968,0.98,0.98,0.968,0.97,0.968,0.98,0.98,0.984,0.986,0.988,0.97,0.984,0.976,0.978,0.968,0.97,0.984,0.976,0.982,0.966,0.984,0.98,0.984,0.982,0.968
"4",150,0.95,0.946,0.934,0.932,0.914,0.958,0.94,0.934,0.93,0.944,0.944,0.92,0.936,0.938,0.928,0.914,0.924,0.942,0.928,0.93,0.93,0.922,0.922,0.936,0.922,0.934,0.936,0.926,0.928,0.918,0.928,0.926,0.942,0.926,0.922,0.926,0.934,0.926,0.914,0.936,0.946,0.928,0.916,0.916,0.94,0.94,0.932,0.928,0.916,0.92
"5",200,0.864,0.878,0.854,0.856,0.89,0.866,0.854,0.872,0.856,0.834,0.898,0.836,0.86,0.864,0.872,0.836,0.876,0.88,0.852,0.86,0.858,0.836,0.864,0.84,0.864,0.85,0.85,0.854,0.836,0.87,0.874,0.864,0.852,0.876,0.856,0.868,0.872,0.872,0.866,0.858,0.876,0.854,0.856,0.852,0.864,0.88,0.894,0.88,0.866,0.878
"6",250,0.826,0.806,0.804,0.808,0.802,0.796,0.79,0.796,0.822,0.766,0.79,0.788,0.78,0.75,0.788,0.79,0.79,0.804,0.778,0.782,0.788,0.78,0.822,0.79,0.77,0.782,0.766,0.824,0.788,0.778,0.806,0.794,0.81,0.778,0.79,0.812,0.754,0.806,0.794,0.778,0.818,0.752,0.8,0.776,0.804,0.812,0.784,0.81,0.772,0.794
"7",300,0.77,0.704,0.684,0.706,0.718,0.766,0.672,0.72,0.714,0.712,0.702,0.718,0.72,0.7,0.75,0.7,0.74,0.718,0.728,0.73,0.736,0.714,0.712,0.7,0.7,0.718,0.7,0.7,0.702,0.736,0.724,0.696,0.748,0.734,0.73,0.702,0.718,0.722,0.688,0.732,0.722,0.746,0.682,0.744,0.742,0.742,0.702,0.736,0.714,0.73
