"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",10,0.992,0.992,0.996,0.992,0.99,0.998,0.994,0.996,0.998,0.988,0.998,0.992,0.994,0.998,0.99,0.998,0.996,0.996,0.998,0.992,0.99,0.99,0.998,0.998,0.992,0.996,0.994,0.994,0.996,0.99,0.992,0.994,0.996,0.998,0.996,0.99,0.992,0.998,0.994,0.994,0.99,0.996,0.996,0.988,1,0.992,0.996,0.992,0.984,0.988
"2",50,0.83,0.868,0.85,0.834,0.862,0.826,0.862,0.836,0.844,0.818,0.842,0.834,0.828,0.828,0.848,0.856,0.856,0.866,0.848,0.832,0.836,0.816,0.856,0.856,0.85,0.814,0.892,0.828,0.86,0.876,0.854,0.86,0.844,0.81,0.864,0.852,0.838,0.866,0.852,0.832,0.858,0.828,0.846,0.86,0.86,0.836,0.87,0.852,0.832,0.852
"3",100,0.658,0.626,0.638,0.662,0.66,0.668,0.668,0.66,0.646,0.66,0.662,0.65,0.668,0.652,0.662,0.646,0.652,0.634,0.634,0.662,0.698,0.656,0.652,0.666,0.622,0.674,0.676,0.654,0.672,0.664,0.658,0.664,0.628,0.64,0.674,0.648,0.688,0.634,0.682,0.686,0.69,0.692,0.674,0.684,0.67,0.668,0.714,0.674,0.646,0.652
"4",150,0.562,0.548,0.496,0.524,0.54,0.548,0.53,0.55,0.542,0.512,0.558,0.558,0.584,0.574,0.534,0.536,0.556,0.528,0.562,0.502,0.566,0.574,0.574,0.522,0.536,0.56,0.548,0.508,0.538,0.558,0.496,0.542,0.49,0.526,0.552,0.528,0.57,0.504,0.55,0.512,0.566,0.526,0.538,0.546,0.53,0.512,0.502,0.544,0.554,0.516
"5",200,0.44,0.45,0.422,0.446,0.442,0.448,0.464,0.454,0.464,0.444,0.442,0.486,0.456,0.428,0.436,0.494,0.436,0.462,0.486,0.424,0.426,0.436,0.416,0.482,0.446,0.456,0.428,0.432,0.438,0.46,0.474,0.434,0.474,0.498,0.46,0.5,0.442,0.478,0.464,0.428,0.47,0.488,0.402,0.454,0.428,0.43,0.468,0.45,0.474,0.46
"6",250,0.384,0.408,0.408,0.4,0.436,0.396,0.358,0.386,0.392,0.386,0.376,0.402,0.364,0.402,0.406,0.392,0.388,0.374,0.384,0.376,0.376,0.418,0.394,0.394,0.394,0.412,0.404,0.416,0.422,0.358,0.408,0.374,0.37,0.39,0.382,0.39,0.362,0.382,0.408,0.394,0.356,0.376,0.412,0.42,0.426,0.402,0.416,0.398,0.422,0.422
"7",300,0.384,0.366,0.356,0.324,0.338,0.37,0.372,0.318,0.332,0.336,0.378,0.36,0.358,0.366,0.336,0.362,0.352,0.298,0.368,0.334,0.324,0.376,0.352,0.404,0.342,0.362,0.38,0.36,0.36,0.382,0.358,0.328,0.338,0.358,0.338,0.36,0.356,0.346,0.344,0.36,0.336,0.342,0.352,0.35,0.368,0.346,0.366,0.372,0.35,0.334
