"","h","Single.Kernel.1","Single.Kernel.2","Multiple.Kernel.1","Multiple.Kernel.2","Multiple.Kernel.3"
"1",1,0,0.008,0.022,0.03,0.036
"2",1.04,0.004,0.014,0.258,0.272,0.262
"3",1.08,0.008,0.092,0.904,0.918,0.882
"4",1.12,0.056,0.31,1,1,1
"5",1.16,0.352,0.762,1,1,1
"6",1.2,0.778,0.978,1,1,1
"7",1.24,0.988,0.998,1,1,1
"8",1.28,1,1,1,1,1
"9",1.32,1,1,1,1,1
"10",1.36,1,1,1,1,1
"11",1.4,1,1,1,1,1
