"","Signal.Strength","Multiple.Kernel.1","Multiple.Kernel.2","Multiple.Kernel.3","Single.Kernel.1","Single.Kernel.2"
"1",1,0.004,0.03,0.006,0.072,0.048
"2",1.04,0.014,0.02,0.004,0.054,0.052
"3",1.08,0.002,0.02,0.01,0.042,0.058
"4",1.12,0.01,0.046,0.008,0.044,0.058
"5",1.16,0.062,0.094,0.062,0.082,0.068
"6",1.2,0.152,0.204,0.132,0.07,0.082
"7",1.24,0.342,0.458,0.328,0.092,0.068
"8",1.28,0.608,0.726,0.57,0.074,0.094
"9",1.32,0.874,0.906,0.818,0.112,0.112
"10",1.36,0.948,0.966,0.95,0.168,0.186
"11",1.4,0.998,0.994,0.984,0.242,0.222
