"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.19,0.19,0.244,0.198,0.2,0.212,0.202,0.228,0.184,0.194,0.196,0.204,0.216,0.182,0.212,0.158,0.216,0.194,0.182,0.21,0.228,0.204,0.206,0.234,0.206,0.218,0.178,0.232,0.192,0.23,0.184,0.196,0.196,0.228,0.228,0.214,0.208,0.192,0.226,0.224,0.208,0.19,0.204,0.218,0.254,0.206,0.192,0.154,0.192,0.178
"2",10,0.29,0.29,0.298,0.246,0.274,0.292,0.232,0.264,0.242,0.31,0.314,0.31,0.322,0.276,0.256,0.284,0.272,0.28,0.276,0.284,0.264,0.262,0.286,0.288,0.282,0.274,0.25,0.252,0.27,0.318,0.288,0.278,0.3,0.298,0.234,0.284,0.326,0.306,0.31,0.298,0.266,0.266,0.312,0.302,0.27,0.258,0.284,0.306,0.312,0.296
"3",25,0.46,0.504,0.46,0.468,0.464,0.432,0.434,0.424,0.42,0.458,0.406,0.402,0.402,0.462,0.476,0.44,0.434,0.44,0.47,0.404,0.434,0.458,0.452,0.458,0.448,0.416,0.426,0.428,0.472,0.42,0.44,0.45,0.45,0.446,0.45,0.428,0.412,0.434,0.424,0.476,0.432,0.46,0.432,0.456,0.458,0.428,0.468,0.448,0.42,0.404
"4",50,0.564,0.582,0.584,0.558,0.58,0.544,0.564,0.598,0.576,0.576,0.586,0.586,0.554,0.578,0.552,0.546,0.608,0.562,0.548,0.612,0.576,0.57,0.552,0.606,0.582,0.532,0.602,0.596,0.558,0.588,0.524,0.546,0.536,0.588,0.58,0.55,0.598,0.598,0.578,0.566,0.574,0.572,0.584,0.582,0.546,0.526,0.564,0.58,0.54,0.546
"5",75,0.638,0.642,0.588,0.608,0.63,0.636,0.634,0.658,0.64,0.632,0.59,0.628,0.668,0.638,0.65,0.65,0.626,0.634,0.66,0.63,0.634,0.63,0.616,0.628,0.62,0.646,0.602,0.63,0.624,0.626,0.658,0.648,0.614,0.618,0.616,0.638,0.614,0.622,0.614,0.61,0.636,0.622,0.624,0.62,0.65,0.654,0.674,0.582,0.642,0.62
"6",100,0.65,0.662,0.69,0.648,0.634,0.678,0.654,0.672,0.682,0.642,0.672,0.64,0.666,0.648,0.712,0.656,0.65,0.65,0.674,0.682,0.638,0.704,0.688,0.684,0.67,0.676,0.688,0.676,0.672,0.674,0.644,0.69,0.646,0.666,0.668,0.672,0.672,0.672,0.64,0.646,0.64,0.696,0.684,0.664,0.676,0.644,0.644,0.642,0.662,0.676
"7",150,0.71,0.694,0.7,0.7,0.708,0.702,0.698,0.69,0.708,0.7,0.712,0.708,0.69,0.714,0.74,0.69,0.698,0.724,0.69,0.64,0.678,0.696,0.66,0.71,0.702,0.672,0.708,0.678,0.664,0.696,0.684,0.668,0.714,0.672,0.724,0.68,0.714,0.702,0.702,0.702,0.718,0.676,0.738,0.68,0.684,0.71,0.702,0.696,0.704,0.69
