"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.198,0.232,0.212,0.228,0.204,0.226,0.236,0.194,0.204,0.194,0.208,0.2,0.22,0.192,0.204,0.22,0.21,0.188,0.214,0.252,0.196,0.202,0.218,0.234,0.202,0.23,0.182,0.184,0.188,0.212,0.214,0.2,0.208,0.232,0.19,0.208,0.206,0.194,0.21,0.234,0.228,0.186,0.218,0.21,0.218,0.206,0.196,0.2,0.232,0.216
"2",10,0.316,0.318,0.298,0.334,0.314,0.326,0.316,0.296,0.352,0.302,0.324,0.328,0.35,0.3,0.308,0.316,0.308,0.282,0.294,0.288,0.32,0.33,0.308,0.292,0.302,0.294,0.302,0.306,0.282,0.326,0.342,0.288,0.31,0.298,0.302,0.316,0.294,0.314,0.292,0.312,0.324,0.316,0.284,0.29,0.294,0.332,0.33,0.328,0.306,0.296
"3",25,0.46,0.514,0.508,0.49,0.532,0.518,0.514,0.498,0.514,0.514,0.518,0.514,0.506,0.514,0.478,0.498,0.532,0.502,0.48,0.474,0.51,0.504,0.504,0.508,0.468,0.532,0.514,0.512,0.486,0.48,0.464,0.498,0.508,0.478,0.508,0.522,0.534,0.496,0.55,0.532,0.48,0.482,0.482,0.49,0.502,0.488,0.496,0.516,0.538,0.504
"4",50,0.614,0.662,0.636,0.668,0.68,0.664,0.63,0.624,0.64,0.664,0.666,0.676,0.644,0.646,0.68,0.68,0.652,0.638,0.632,0.658,0.622,0.668,0.634,0.666,0.626,0.64,0.65,0.648,0.648,0.648,0.682,0.67,0.668,0.62,0.674,0.628,0.668,0.634,0.626,0.62,0.676,0.692,0.644,0.684,0.642,0.622,0.642,0.622,0.638,0.704
"5",75,0.758,0.74,0.692,0.692,0.696,0.692,0.734,0.698,0.754,0.704,0.716,0.736,0.714,0.716,0.732,0.684,0.692,0.712,0.712,0.716,0.746,0.726,0.726,0.71,0.7,0.706,0.712,0.728,0.744,0.674,0.716,0.706,0.728,0.716,0.69,0.73,0.732,0.686,0.698,0.736,0.724,0.676,0.698,0.73,0.704,0.706,0.712,0.722,0.692,0.7
"6",100,0.796,0.746,0.752,0.772,0.748,0.736,0.76,0.748,0.758,0.746,0.726,0.716,0.732,0.736,0.716,0.76,0.724,0.744,0.724,0.732,0.756,0.726,0.74,0.726,0.712,0.758,0.73,0.734,0.776,0.75,0.756,0.746,0.732,0.772,0.748,0.724,0.748,0.764,0.756,0.734,0.736,0.75,0.76,0.742,0.734,0.732,0.758,0.744,0.792,0.786
"7",150,0.76,0.784,0.792,0.81,0.774,0.822,0.766,0.784,0.824,0.788,0.75,0.81,0.78,0.796,0.798,0.81,0.784,0.756,0.788,0.752,0.816,0.748,0.804,0.78,0.806,0.784,0.766,0.79,0.776,0.792,0.812,0.8,0.78,0.788,0.79,0.782,0.786,0.772,0.774,0.808,0.798,0.778,0.772,0.798,0.786,0.81,0.782,0.776,0.818,0.762
