"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.186,0.194,0.21,0.192,0.196,0.192,0.18,0.162,0.216,0.178,0.158,0.16,0.174,0.21,0.174,0.15,0.194,0.148,0.186,0.174,0.158,0.18,0.15,0.17,0.2,0.156,0.148,0.176,0.19,0.16,0.192,0.194,0.17,0.178,0.184,0.168,0.16,0.178,0.19,0.166,0.208,0.18,0.214,0.18,0.162,0.192,0.194,0.194,0.172,0.164
"2",10,0.256,0.246,0.262,0.24,0.234,0.23,0.24,0.188,0.22,0.256,0.274,0.226,0.254,0.224,0.25,0.208,0.27,0.254,0.224,0.236,0.226,0.246,0.244,0.24,0.226,0.272,0.24,0.274,0.224,0.218,0.23,0.248,0.228,0.248,0.228,0.234,0.262,0.25,0.244,0.236,0.232,0.262,0.236,0.208,0.236,0.248,0.23,0.178,0.25,0.238
"3",25,0.312,0.362,0.32,0.326,0.332,0.338,0.37,0.298,0.316,0.326,0.342,0.324,0.342,0.328,0.36,0.32,0.356,0.328,0.348,0.326,0.348,0.334,0.328,0.348,0.326,0.342,0.36,0.33,0.364,0.342,0.324,0.344,0.35,0.344,0.384,0.338,0.35,0.332,0.36,0.322,0.386,0.35,0.314,0.362,0.374,0.358,0.32,0.386,0.288,0.292
"4",50,0.414,0.43,0.46,0.404,0.424,0.422,0.398,0.42,0.402,0.442,0.42,0.404,0.414,0.442,0.474,0.422,0.408,0.42,0.444,0.418,0.404,0.414,0.426,0.43,0.404,0.444,0.432,0.428,0.422,0.444,0.418,0.436,0.45,0.438,0.442,0.43,0.434,0.42,0.444,0.43,0.434,0.422,0.416,0.448,0.462,0.432,0.424,0.422,0.438,0.416
"5",75,0.492,0.492,0.478,0.448,0.44,0.48,0.432,0.504,0.428,0.476,0.478,0.496,0.478,0.484,0.494,0.488,0.514,0.474,0.468,0.502,0.446,0.478,0.472,0.436,0.47,0.464,0.474,0.46,0.484,0.498,0.466,0.448,0.448,0.474,0.51,0.482,0.462,0.48,0.47,0.496,0.468,0.464,0.452,0.448,0.446,0.492,0.448,0.49,0.486,0.504
"6",100,0.544,0.494,0.538,0.488,0.51,0.484,0.502,0.5,0.468,0.474,0.506,0.522,0.556,0.518,0.522,0.512,0.524,0.458,0.528,0.48,0.488,0.528,0.484,0.526,0.48,0.498,0.52,0.466,0.506,0.478,0.49,0.486,0.514,0.504,0.474,0.51,0.496,0.528,0.512,0.542,0.512,0.486,0.49,0.482,0.53,0.498,0.516,0.522,0.534,0.462
"7",150,0.592,0.542,0.566,0.586,0.588,0.536,0.514,0.532,0.554,0.57,0.542,0.538,0.576,0.548,0.548,0.55,0.504,0.546,0.54,0.53,0.512,0.538,0.508,0.526,0.588,0.506,0.506,0.554,0.552,0.552,0.592,0.536,0.534,0.522,0.516,0.57,0.576,0.506,0.524,0.57,0.572,0.502,0.534,0.53,0.564,0.592,0.544,0.506,0.554,0.538
