"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.088,0.088,0.106,0.088,0.09,0.12,0.07,0.116,0.104,0.102,0.112,0.116,0.098,0.086,0.104,0.116,0.114,0.094,0.098,0.086,0.09,0.106,0.116,0.098,0.11,0.088,0.096,0.082,0.096,0.094,0.094,0.098,0.096,0.094,0.098,0.084,0.106,0.11,0.1,0.132,0.108,0.084,0.1,0.094,0.09,0.096,0.084,0.086,0.11,0.08
"2",10,0.082,0.096,0.108,0.082,0.08,0.1,0.092,0.08,0.092,0.076,0.086,0.102,0.094,0.096,0.072,0.102,0.088,0.11,0.082,0.098,0.112,0.104,0.082,0.104,0.104,0.084,0.1,0.074,0.1,0.1,0.102,0.086,0.1,0.088,0.104,0.11,0.118,0.084,0.086,0.096,0.096,0.118,0.108,0.094,0.108,0.1,0.084,0.088,0.086,0.09
"3",25,0.084,0.062,0.082,0.092,0.082,0.092,0.12,0.094,0.1,0.09,0.076,0.064,0.096,0.084,0.094,0.092,0.096,0.078,0.098,0.086,0.084,0.092,0.08,0.072,0.07,0.07,0.072,0.092,0.082,0.092,0.084,0.08,0.068,0.1,0.082,0.1,0.074,0.078,0.092,0.078,0.09,0.094,0.076,0.084,0.094,0.076,0.106,0.112,0.098,0.11
"4",50,0.074,0.07,0.062,0.07,0.054,0.08,0.078,0.066,0.08,0.062,0.052,0.084,0.05,0.046,0.066,0.076,0.072,0.048,0.072,0.09,0.066,0.064,0.052,0.058,0.06,0.068,0.064,0.048,0.076,0.088,0.066,0.06,0.08,0.06,0.072,0.068,0.062,0.082,0.06,0.094,0.056,0.072,0.094,0.072,0.09,0.07,0.062,0.056,0.064,0.072
"5",75,0.072,0.066,0.08,0.082,0.05,0.096,0.056,0.056,0.102,0.056,0.078,0.084,0.064,0.07,0.07,0.082,0.086,0.082,0.068,0.088,0.074,0.058,0.08,0.11,0.056,0.062,0.082,0.068,0.072,0.076,0.056,0.066,0.088,0.07,0.07,0.052,0.086,0.082,0.074,0.054,0.074,0.076,0.078,0.088,0.064,0.07,0.076,0.078,0.086,0.082
"6",100,0.086,0.08,0.082,0.074,0.08,0.078,0.062,0.066,0.086,0.08,0.088,0.092,0.072,0.058,0.08,0.054,0.074,0.048,0.072,0.06,0.086,0.048,0.072,0.06,0.058,0.068,0.06,0.086,0.072,0.058,0.084,0.062,0.1,0.058,0.082,0.084,0.078,0.058,0.056,0.072,0.06,0.08,0.074,0.044,0.072,0.088,0.064,0.052,0.072,0.068
"7",150,0.076,0.062,0.078,0.052,0.06,0.076,0.064,0.074,0.07,0.064,0.086,0.064,0.078,0.074,0.086,0.086,0.076,0.09,0.088,0.08,0.05,0.066,0.068,0.08,0.106,0.096,0.066,0.062,0.06,0.058,0.054,0.072,0.078,0.076,0.078,0.068,0.078,0.054,0.054,0.07,0.076,0.066,0.076,0.07,0.074,0.106,0.084,0.074,0.068,0.076
