"","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",5,0.164,0.142,0.16,0.14,0.154,0.15,0.162,0.144,0.164,0.142,0.15,0.128,0.166,0.178,0.164,0.172,0.166,0.182,0.16,0.164,0.152,0.122,0.142,0.17,0.152,0.17,0.142,0.142,0.154,0.15,0.158,0.13,0.136,0.12,0.134,0.166,0.186,0.136,0.17,0.148,0.178,0.184,0.14,0.142,0.168,0.156,0.18,0.146,0.142,0.144
"2",10,0.216,0.202,0.154,0.234,0.188,0.192,0.192,0.184,0.168,0.192,0.182,0.212,0.19,0.19,0.184,0.172,0.19,0.152,0.186,0.178,0.172,0.238,0.18,0.194,0.192,0.204,0.192,0.186,0.18,0.162,0.222,0.226,0.17,0.19,0.222,0.132,0.17,0.198,0.194,0.164,0.17,0.186,0.202,0.17,0.214,0.192,0.196,0.184,0.2,0.186
"3",25,0.248,0.25,0.246,0.236,0.258,0.254,0.246,0.284,0.25,0.218,0.252,0.206,0.222,0.176,0.244,0.21,0.202,0.228,0.198,0.244,0.246,0.234,0.23,0.28,0.232,0.214,0.216,0.26,0.23,0.24,0.242,0.226,0.264,0.234,0.242,0.238,0.208,0.272,0.246,0.256,0.246,0.242,0.244,0.24,0.248,0.258,0.294,0.2,0.212,0.27
"4",50,0.252,0.25,0.25,0.276,0.22,0.286,0.286,0.278,0.278,0.252,0.258,0.278,0.268,0.266,0.284,0.29,0.31,0.27,0.268,0.304,0.268,0.3,0.226,0.264,0.244,0.28,0.256,0.266,0.246,0.284,0.256,0.256,0.242,0.278,0.26,0.288,0.274,0.274,0.286,0.282,0.284,0.246,0.3,0.246,0.266,0.292,0.314,0.244,0.246,0.264
"5",75,0.334,0.272,0.308,0.308,0.296,0.282,0.306,0.27,0.258,0.316,0.272,0.244,0.282,0.256,0.278,0.266,0.26,0.318,0.272,0.26,0.278,0.268,0.246,0.28,0.302,0.31,0.292,0.28,0.286,0.282,0.256,0.28,0.25,0.288,0.276,0.27,0.274,0.266,0.256,0.274,0.25,0.252,0.25,0.322,0.26,0.28,0.266,0.276,0.268,0.284
"6",100,0.332,0.304,0.308,0.294,0.306,0.296,0.282,0.278,0.288,0.296,0.292,0.282,0.28,0.31,0.29,0.278,0.318,0.31,0.294,0.308,0.232,0.28,0.298,0.304,0.264,0.294,0.286,0.272,0.262,0.28,0.258,0.28,0.312,0.288,0.298,0.262,0.29,0.332,0.306,0.28,0.308,0.288,0.314,0.306,0.298,0.254,0.268,0.272,0.292,0.32
"7",150,0.304,0.324,0.29,0.292,0.286,0.316,0.284,0.284,0.28,0.282,0.306,0.306,0.306,0.286,0.288,0.308,0.292,0.29,0.266,0.312,0.334,0.312,0.262,0.334,0.294,0.306,0.29,0.276,0.304,0.27,0.292,0.292,0.364,0.28,0.34,0.31,0.336,0.29,0.286,0.292,0.318,0.294,0.308,0.308,0.302,0.288,0.304,0.29,0.332,0.304
