"","n.seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",50,0.066,0.052,0.046,0.066,0.07,0.046,0.046,0.038,0.042,0.06,0.038,0.046,0.04,0.05,0.046,0.048,0.032,0.046,0.042,0.054,0.046,0.038,0.058,0.06,0.056,0.042,0.064,0.072,0.064,0.048,0.046,0.06,0.07,0.06,0.058,0.06,0.046,0.052,0.05,0.042,0.046,0.034,0.04,0.036,0.04,0.044,0.046,0.058,0.06,0.068
"2",100,0.056,0.03,0.034,0.054,0.058,0.056,0.032,0.044,0.038,0.042,0.044,0.032,0.048,0.048,0.034,0.05,0.07,0.054,0.068,0.05,0.04,0.026,0.058,0.064,0.056,0.052,0.056,0.06,0.048,0.042,0.042,0.046,0.042,0.052,0.036,0.056,0.042,0.048,0.05,0.042,0.046,0.06,0.052,0.06,0.048,0.038,0.042,0.064,0.036,0.054
"3",200,0.056,0.038,0.034,0.042,0.058,0.046,0.044,0.072,0.058,0.048,0.054,0.042,0.034,0.058,0.03,0.046,0.048,0.05,0.042,0.044,0.048,0.052,0.046,0.036,0.03,0.04,0.036,0.04,0.028,0.064,0.056,0.044,0.07,0.048,0.05,0.07,0.06,0.048,0.046,0.036,0.056,0.048,0.028,0.042,0.036,0.036,0.038,0.046,0.046,0.054
"4",300,0.048,0.034,0.056,0.048,0.044,0.04,0.044,0.05,0.066,0.046,0.034,0.038,0.044,0.048,0.058,0.07,0.066,0.028,0.028,0.048,0.042,0.026,0.052,0.052,0.056,0.032,0.054,0.054,0.05,0.042,0.052,0.038,0.044,0.058,0.038,0.036,0.042,0.068,0.058,0.06,0.06,0.058,0.044,0.046,0.032,0.054,0.048,0.032,0.07,0.056
"5",400,0.056,0.036,0.048,0.042,0.036,0.044,0.06,0.032,0.048,0.038,0.032,0.052,0.056,0.052,0.044,0.054,0.054,0.036,0.05,0.056,0.05,0.04,0.044,0.036,0.046,0.07,0.054,0.054,0.044,0.054,0.064,0.058,0.046,0.052,0.044,0.046,0.048,0.058,0.066,0.044,0.036,0.044,0.056,0.064,0.042,0.042,0.076,0.046,0.04,0.04
"6",500,0.064,0.056,0.062,0.048,0.04,0.068,0.066,0.062,0.038,0.062,0.048,0.046,0.028,0.058,0.04,0.048,0.044,0.04,0.038,0.046,0.048,0.06,0.052,0.048,0.046,0.056,0.064,0.04,0.052,0.048,0.034,0.046,0.05,0.04,0.052,0.028,0.026,0.048,0.042,0.046,0.048,0.06,0.04,0.054,0.034,0.058,0.044,0.052,0.05,0.052
