"","n.seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",50,0.066,0.07,0.076,0.07,0.062,0.076,0.07,0.068,0.072,0.068,0.056,0.076,0.076,0.068,0.074,0.078,0.062,0.058,0.064,0.052,0.066,0.064,0.064,0.056,0.068,0.076,0.07,0.074,0.066,0.048,0.064,0.064,0.074,0.06,0.064,0.06,0.07,0.058,0.07,0.078,0.048,0.082,0.07,0.066,0.08,0.06,0.076,0.074,0.066,0.078
"2",100,0.042,0.05,0.056,0.052,0.066,0.064,0.054,0.036,0.056,0.06,0.054,0.056,0.052,0.046,0.052,0.058,0.048,0.056,0.062,0.066,0.052,0.05,0.054,0.042,0.05,0.042,0.058,0.054,0.044,0.046,0.044,0.058,0.046,0.056,0.044,0.064,0.04,0.07,0.068,0.04,0.052,0.048,0.044,0.056,0.056,0.052,0.054,0.056,0.042,0.046
"3",200,0.052,0.056,0.048,0.058,0.048,0.05,0.062,0.052,0.036,0.066,0.056,0.04,0.06,0.074,0.044,0.052,0.046,0.046,0.046,0.062,0.05,0.046,0.058,0.062,0.036,0.052,0.046,0.046,0.044,0.038,0.056,0.072,0.052,0.042,0.046,0.042,0.03,0.042,0.044,0.052,0.06,0.056,0.044,0.03,0.042,0.054,0.054,0.048,0.056,0.042
"4",300,0.046,0.044,0.054,0.048,0.05,0.052,0.036,0.062,0.048,0.034,0.044,0.06,0.042,0.06,0.038,0.048,0.052,0.05,0.048,0.05,0.044,0.052,0.044,0.054,0.054,0.05,0.06,0.044,0.052,0.046,0.064,0.052,0.066,0.05,0.05,0.056,0.05,0.036,0.044,0.054,0.05,0.068,0.044,0.05,0.048,0.04,0.052,0.054,0.062,0.036
"5",400,0.066,0.044,0.048,0.058,0.064,0.03,0.06,0.056,0.072,0.048,0.046,0.06,0.028,0.04,0.06,0.046,0.056,0.052,0.076,0.062,0.054,0.046,0.042,0.048,0.042,0.05,0.048,0.072,0.04,0.038,0.046,0.05,0.044,0.048,0.076,0.044,0.034,0.05,0.054,0.04,0.044,0.05,0.048,0.056,0.048,0.056,0.062,0.044,0.048,0.046
"6",500,0.062,0.056,0.072,0.05,0.044,0.048,0.048,0.054,0.054,0.072,0.038,0.056,0.056,0.066,0.062,0.044,0.066,0.04,0.044,0.044,0.03,0.05,0.042,0.032,0.036,0.056,0.05,0.04,0.042,0.048,0.05,0.04,0.058,0.048,0.06,0.044,0.05,0.04,0.038,0.046,0.054,0.046,0.046,0.052,0.048,0.042,0.052,0.048,0.048,0.038
