"","n.seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",50,0.068,0.07,0.06,0.084,0.084,0.086,0.06,0.068,0.08,0.08,0.06,0.068,0.07,0.076,0.076,0.072,0.08,0.062,0.07,0.068,0.074,0.066,0.068,0.092,0.082,0.07,0.056,0.072,0.07,0.076,0.064,0.052,0.08,0.09,0.056,0.09,0.072,0.094,0.076,0.064,0.054,0.062,0.07,0.08,0.066,0.07,0.09,0.064,0.06,0.062
"2",100,0.054,0.076,0.058,0.064,0.074,0.056,0.074,0.056,0.058,0.054,0.042,0.054,0.076,0.07,0.058,0.06,0.074,0.072,0.052,0.038,0.074,0.04,0.06,0.054,0.044,0.078,0.056,0.054,0.044,0.068,0.066,0.048,0.054,0.068,0.052,0.046,0.054,0.078,0.046,0.054,0.07,0.046,0.072,0.046,0.084,0.046,0.066,0.056,0.058,0.068
"3",200,0.05,0.052,0.06,0.048,0.06,0.034,0.062,0.048,0.076,0.068,0.054,0.056,0.038,0.054,0.044,0.064,0.068,0.062,0.044,0.046,0.058,0.062,0.052,0.06,0.056,0.032,0.044,0.05,0.04,0.06,0.06,0.042,0.046,0.048,0.04,0.042,0.042,0.048,0.048,0.066,0.058,0.068,0.072,0.052,0.062,0.038,0.07,0.064,0.05,0.046
"4",300,0.052,0.036,0.054,0.038,0.054,0.052,0.06,0.062,0.06,0.058,0.054,0.042,0.05,0.046,0.044,0.05,0.054,0.046,0.068,0.044,0.05,0.056,0.056,0.054,0.076,0.046,0.056,0.058,0.05,0.044,0.064,0.05,0.058,0.056,0.052,0.042,0.062,0.058,0.044,0.054,0.054,0.05,0.048,0.038,0.038,0.062,0.064,0.066,0.06,0.064
"5",400,0.042,0.072,0.042,0.052,0.07,0.056,0.028,0.072,0.042,0.052,0.052,0.072,0.05,0.042,0.068,0.06,0.05,0.046,0.05,0.072,0.054,0.044,0.048,0.044,0.054,0.048,0.05,0.056,0.046,0.046,0.056,0.05,0.042,0.056,0.06,0.042,0.062,0.07,0.064,0.06,0.056,0.048,0.066,0.05,0.044,0.028,0.076,0.056,0.064,0.054
"6",500,0.056,0.06,0.058,0.048,0.06,0.052,0.056,0.056,0.068,0.054,0.048,0.046,0.066,0.054,0.056,0.042,0.052,0.03,0.062,0.056,0.038,0.068,0.046,0.044,0.03,0.05,0.048,0.054,0.05,0.052,0.048,0.042,0.046,0.056,0.054,0.084,0.046,0.052,0.056,0.044,0.046,0.042,0.052,0.056,0.056,0.054,0.034,0.06,0.044,0.05
