"","n.seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",50,0.058,0.06,0.04,0.06,0.062,0.076,0.062,0.066,0.058,0.05,0.06,0.058,0.066,0.042,0.072,0.048,0.04,0.05,0.06,0.08,0.076,0.06,0.058,0.068,0.068,0.058,0.054,0.072,0.076,0.066,0.06,0.054,0.06,0.064,0.05,0.06,0.074,0.036,0.05,0.048,0.076,0.06,0.074,0.066,0.062,0.056,0.06,0.05,0.06,0.064
"2",100,0.068,0.058,0.05,0.07,0.056,0.068,0.046,0.058,0.028,0.04,0.054,0.07,0.062,0.042,0.068,0.048,0.056,0.06,0.072,0.042,0.064,0.048,0.036,0.052,0.052,0.044,0.052,0.074,0.046,0.066,0.038,0.056,0.056,0.07,0.064,0.054,0.056,0.07,0.048,0.048,0.036,0.07,0.042,0.052,0.066,0.068,0.058,0.068,0.068,0.05
"3",200,0.046,0.06,0.056,0.048,0.068,0.054,0.038,0.054,0.042,0.07,0.046,0.044,0.066,0.046,0.052,0.056,0.038,0.058,0.058,0.05,0.052,0.07,0.072,0.05,0.054,0.06,0.06,0.066,0.044,0.072,0.062,0.05,0.05,0.05,0.056,0.052,0.046,0.074,0.054,0.062,0.058,0.058,0.054,0.048,0.052,0.068,0.052,0.044,0.046,0.054
"4",300,0.054,0.062,0.05,0.038,0.064,0.038,0.054,0.064,0.056,0.038,0.06,0.072,0.05,0.032,0.046,0.06,0.052,0.048,0.06,0.072,0.028,0.064,0.054,0.042,0.066,0.05,0.058,0.056,0.054,0.056,0.054,0.046,0.036,0.044,0.048,0.058,0.054,0.052,0.056,0.052,0.056,0.054,0.054,0.056,0.052,0.064,0.048,0.062,0.06,0.05
"5",400,0.056,0.054,0.062,0.05,0.058,0.056,0.054,0.054,0.064,0.044,0.052,0.06,0.07,0.06,0.034,0.054,0.06,0.054,0.074,0.056,0.062,0.056,0.058,0.038,0.06,0.036,0.074,0.042,0.06,0.068,0.094,0.056,0.064,0.05,0.064,0.056,0.042,0.07,0.042,0.058,0.076,0.056,0.038,0.044,0.052,0.04,0.044,0.038,0.062,0.05
"6",500,0.058,0.05,0.054,0.06,0.07,0.058,0.048,0.072,0.056,0.07,0.072,0.074,0.062,0.05,0.056,0.064,0.05,0.05,0.052,0.054,0.044,0.044,0.06,0.06,0.044,0.068,0.05,0.044,0.05,0.05,0.05,0.064,0.066,0.048,0.048,0.064,0.048,0.052,0.056,0.05,0.068,0.056,0.046,0.044,0.052,0.05,0.046,0.058,0.064,0.05
