"","n.seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",50,0.056,0.044,0.038,0.062,0.06,0.04,0.056,0.046,0.046,0.032,0.064,0.06,0.074,0.042,0.062,0.06,0.036,0.054,0.048,0.05,0.04,0.048,0.03,0.034,0.05,0.058,0.054,0.048,0.044,0.058,0.058,0.04,0.07,0.048,0.05,0.034,0.05,0.048,0.078,0.058,0.052,0.056,0.068,0.048,0.052,0.042,0.048,0.028,0.048,0.03
"2",100,0.062,0.058,0.044,0.062,0.044,0.06,0.052,0.05,0.048,0.042,0.062,0.054,0.046,0.052,0.042,0.058,0.042,0.046,0.056,0.066,0.056,0.038,0.064,0.05,0.066,0.032,0.048,0.058,0.062,0.042,0.036,0.038,0.05,0.064,0.044,0.042,0.042,0.042,0.05,0.04,0.074,0.04,0.038,0.06,0.056,0.052,0.05,0.062,0.03,0.066
"3",200,0.054,0.056,0.048,0.072,0.042,0.064,0.042,0.058,0.06,0.056,0.044,0.062,0.042,0.07,0.056,0.05,0.05,0.054,0.046,0.042,0.052,0.05,0.052,0.068,0.046,0.06,0.052,0.036,0.062,0.05,0.044,0.03,0.058,0.034,0.046,0.054,0.054,0.028,0.048,0.058,0.042,0.034,0.038,0.038,0.058,0.046,0.052,0.046,0.038,0.05
"4",300,0.06,0.036,0.048,0.044,0.042,0.05,0.028,0.068,0.038,0.054,0.052,0.044,0.056,0.048,0.04,0.052,0.044,0.042,0.054,0.04,0.05,0.086,0.048,0.042,0.056,0.048,0.042,0.046,0.05,0.052,0.048,0.048,0.066,0.036,0.044,0.044,0.054,0.046,0.052,0.064,0.038,0.038,0.062,0.048,0.05,0.052,0.058,0.048,0.044,0.064
"5",400,0.044,0.064,0.06,0.064,0.036,0.058,0.054,0.038,0.05,0.046,0.056,0.06,0.054,0.048,0.046,0.048,0.068,0.056,0.056,0.062,0.066,0.074,0.054,0.05,0.056,0.044,0.052,0.04,0.052,0.034,0.042,0.046,0.052,0.068,0.05,0.066,0.054,0.032,0.046,0.05,0.048,0.052,0.064,0.034,0.05,0.06,0.05,0.06,0.054,0.052
"6",500,0.054,0.048,0.048,0.036,0.058,0.04,0.046,0.052,0.074,0.038,0.04,0.058,0.042,0.064,0.058,0.058,0.058,0.064,0.056,0.06,0.056,0.03,0.03,0.05,0.046,0.052,0.044,0.042,0.038,0.046,0.06,0.046,0.04,0.058,0.052,0.054,0.058,0.056,0.068,0.072,0.034,0.046,0.056,0.054,0.058,0.044,0.052,0.05,0.054,0.046
