"","n.seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",50,0.048,0.048,0.042,0.048,0.028,0.022,0.038,0.03,0.046,0.026,0.036,0.048,0.05,0.044,0.036,0.028,0.026,0.056,0.046,0.038,0.038,0.048,0.044,0.062,0.06,0.038,0.048,0.044,0.032,0.04,0.046,0.04,0.048,0.046,0.042,0.054,0.038,0.04,0.046,0.044,0.052,0.04,0.044,0.032,0.04,0.032,0.04,0.026,0.028,0.052
"2",100,0.044,0.048,0.038,0.046,0.054,0.072,0.038,0.042,0.04,0.05,0.044,0.06,0.056,0.048,0.03,0.05,0.044,0.052,0.038,0.044,0.038,0.052,0.054,0.052,0.046,0.04,0.052,0.07,0.058,0.042,0.052,0.056,0.046,0.064,0.06,0.036,0.058,0.038,0.026,0.038,0.044,0.034,0.046,0.046,0.056,0.046,0.042,0.038,0.064,0.04
"3",200,0.05,0.048,0.044,0.074,0.046,0.058,0.05,0.046,0.054,0.048,0.05,0.026,0.042,0.06,0.056,0.046,0.03,0.054,0.058,0.036,0.046,0.036,0.052,0.044,0.034,0.046,0.038,0.044,0.032,0.046,0.042,0.028,0.056,0.054,0.052,0.046,0.03,0.05,0.062,0.044,0.058,0.064,0.04,0.048,0.04,0.054,0.042,0.044,0.06,0.046
"4",300,0.044,0.062,0.046,0.058,0.026,0.05,0.046,0.044,0.06,0.04,0.036,0.05,0.066,0.042,0.042,0.068,0.04,0.052,0.052,0.064,0.052,0.052,0.038,0.056,0.058,0.054,0.058,0.054,0.038,0.038,0.046,0.046,0.054,0.05,0.04,0.052,0.042,0.042,0.066,0.066,0.038,0.052,0.048,0.046,0.054,0.042,0.054,0.054,0.054,0.048
"5",400,0.082,0.062,0.052,0.04,0.044,0.05,0.06,0.05,0.068,0.05,0.06,0.024,0.038,0.06,0.03,0.048,0.048,0.04,0.072,0.056,0.072,0.062,0.048,0.042,0.05,0.052,0.04,0.028,0.058,0.058,0.05,0.058,0.058,0.05,0.054,0.048,0.056,0.076,0.064,0.056,0.066,0.054,0.044,0.056,0.058,0.032,0.05,0.066,0.034,0.072
"6",500,0.036,0.052,0.04,0.056,0.058,0.056,0.048,0.044,0.046,0.052,0.054,0.068,0.052,0.066,0.056,0.066,0.062,0.058,0.038,0.052,0.042,0.04,0.052,0.056,0.036,0.048,0.048,0.04,0.064,0.052,0.058,0.054,0.032,0.06,0.05,0.046,0.052,0.042,0.042,0.042,0.044,0.036,0.052,0.064,0.046,0.062,0.046,0.05,0.066,0.048
