"","error.sigma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.876,0.902,0.892,0.89,0.894,0.9,0.88,0.912,0.898,0.874,0.892,0.91,0.912,0.892,0.858,0.894,0.896,0.878,0.908,0.908,0.898,0.884,0.896,0.91,0.872,0.89,0.89,0.89,0.886,0.898,0.906,0.896,0.894,0.874,0.916,0.916,0.9,0.874,0.886,0.896,0.886,0.898,0.894,0.9,0.89,0.908,0.904,0.894,0.886,0.918
"2",0.2,0.898,0.87,0.888,0.884,0.894,0.908,0.894,0.9,0.864,0.892,0.886,0.876,0.894,0.886,0.888,0.884,0.894,0.902,0.902,0.86,0.906,0.868,0.886,0.89,0.874,0.916,0.87,0.868,0.884,0.876,0.892,0.918,0.876,0.916,0.914,0.85,0.91,0.884,0.874,0.902,0.87,0.88,0.872,0.908,0.868,0.892,0.906,0.862,0.878,0.892
"3",0.4,0.822,0.81,0.812,0.818,0.802,0.842,0.84,0.816,0.832,0.814,0.818,0.822,0.834,0.784,0.794,0.808,0.82,0.806,0.804,0.826,0.832,0.828,0.776,0.794,0.828,0.828,0.804,0.826,0.786,0.826,0.826,0.798,0.81,0.84,0.852,0.806,0.814,0.818,0.826,0.842,0.798,0.83,0.798,0.806,0.814,0.83,0.786,0.784,0.806,0.832
"4",0.6,0.658,0.636,0.64,0.608,0.622,0.63,0.626,0.644,0.688,0.65,0.634,0.648,0.618,0.618,0.608,0.634,0.646,0.65,0.66,0.604,0.612,0.626,0.612,0.618,0.618,0.606,0.626,0.636,0.638,0.638,0.614,0.624,0.65,0.67,0.65,0.616,0.6,0.662,0.624,0.62,0.618,0.638,0.656,0.612,0.64,0.626,0.6,0.608,0.624,0.65
"5",0.8,0.34,0.326,0.356,0.296,0.308,0.354,0.352,0.328,0.348,0.326,0.324,0.352,0.332,0.306,0.312,0.344,0.34,0.332,0.326,0.342,0.298,0.356,0.388,0.334,0.334,0.35,0.322,0.336,0.318,0.342,0.344,0.316,0.324,0.26,0.366,0.336,0.362,0.33,0.348,0.302,0.332,0.378,0.348,0.392,0.362,0.358,0.302,0.298,0.348,0.346
"6",1,0.164,0.152,0.174,0.138,0.18,0.148,0.162,0.144,0.162,0.154,0.178,0.138,0.166,0.14,0.152,0.15,0.158,0.158,0.144,0.176,0.156,0.212,0.168,0.172,0.192,0.182,0.156,0.186,0.196,0.174,0.158,0.168,0.15,0.178,0.148,0.144,0.17,0.144,0.166,0.162,0.154,0.148,0.196,0.178,0.168,0.17,0.17,0.162,0.14,0.156
