"","error.sigma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.854,0.878,0.884,0.868,0.886,0.878,0.866,0.9,0.9,0.86,0.878,0.882,0.91,0.876,0.862,0.892,0.88,0.866,0.89,0.894,0.884,0.896,0.878,0.902,0.86,0.88,0.88,0.85,0.868,0.89,0.892,0.878,0.874,0.86,0.884,0.884,0.892,0.886,0.882,0.872,0.854,0.878,0.884,0.892,0.886,0.9,0.874,0.858,0.892,0.904
"2",0.2,0.87,0.848,0.862,0.872,0.862,0.872,0.866,0.866,0.848,0.884,0.862,0.85,0.866,0.864,0.876,0.832,0.88,0.882,0.888,0.848,0.878,0.848,0.856,0.872,0.85,0.9,0.854,0.834,0.854,0.844,0.872,0.89,0.856,0.896,0.884,0.836,0.89,0.874,0.856,0.866,0.852,0.852,0.854,0.882,0.842,0.874,0.874,0.842,0.866,0.86
"3",0.4,0.828,0.83,0.818,0.848,0.804,0.842,0.834,0.814,0.846,0.824,0.828,0.824,0.836,0.798,0.79,0.82,0.828,0.82,0.814,0.816,0.844,0.838,0.782,0.81,0.834,0.834,0.812,0.83,0.784,0.836,0.832,0.804,0.822,0.846,0.838,0.802,0.82,0.832,0.836,0.85,0.8,0.834,0.8,0.812,0.822,0.84,0.788,0.79,0.816,0.834
"4",0.6,0.686,0.666,0.676,0.668,0.656,0.66,0.666,0.668,0.704,0.666,0.662,0.674,0.652,0.656,0.642,0.65,0.662,0.702,0.686,0.656,0.642,0.648,0.664,0.644,0.64,0.62,0.646,0.658,0.666,0.668,0.656,0.66,0.684,0.706,0.668,0.654,0.636,0.706,0.648,0.686,0.662,0.664,0.692,0.634,0.694,0.646,0.622,0.648,0.656,0.662
"5",0.8,0.38,0.342,0.396,0.35,0.386,0.388,0.364,0.336,0.378,0.366,0.336,0.386,0.358,0.328,0.352,0.384,0.374,0.336,0.342,0.382,0.314,0.378,0.424,0.344,0.376,0.378,0.34,0.354,0.328,0.354,0.346,0.354,0.34,0.296,0.394,0.348,0.4,0.372,0.372,0.334,0.368,0.382,0.37,0.43,0.378,0.374,0.338,0.328,0.38,0.384
"6",1,0.176,0.172,0.188,0.146,0.2,0.164,0.182,0.184,0.156,0.172,0.188,0.134,0.178,0.14,0.154,0.16,0.184,0.184,0.168,0.174,0.158,0.22,0.2,0.172,0.196,0.18,0.158,0.184,0.208,0.184,0.16,0.18,0.162,0.182,0.188,0.15,0.19,0.156,0.192,0.184,0.176,0.154,0.21,0.202,0.158,0.176,0.17,0.156,0.154,0.166
