"","error.sigma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.726,0.754,0.736,0.714,0.76,0.744,0.734,0.748,0.76,0.736,0.73,0.746,0.772,0.718,0.692,0.72,0.726,0.728,0.77,0.724,0.706,0.734,0.724,0.736,0.732,0.73,0.74,0.696,0.712,0.776,0.764,0.73,0.736,0.7,0.742,0.72,0.758,0.7,0.728,0.714,0.732,0.72,0.76,0.714,0.698,0.764,0.738,0.724,0.716,0.73
"2",0.2,0.592,0.594,0.576,0.602,0.584,0.592,0.612,0.612,0.59,0.584,0.596,0.6,0.598,0.558,0.562,0.618,0.602,0.612,0.604,0.596,0.594,0.574,0.58,0.59,0.592,0.61,0.572,0.564,0.61,0.562,0.6,0.604,0.574,0.624,0.598,0.58,0.604,0.6,0.618,0.598,0.582,0.574,0.572,0.61,0.582,0.624,0.586,0.544,0.588,0.604
"3",0.4,0.066,0.046,0.064,0.056,0.066,0.056,0.062,0.054,0.042,0.072,0.07,0.05,0.058,0.058,0.062,0.068,0.052,0.072,0.072,0.06,0.07,0.046,0.048,0.052,0.056,0.068,0.054,0.058,0.042,0.068,0.06,0.048,0.048,0.058,0.058,0.064,0.06,0.042,0.074,0.052,0.044,0.05,0.062,0.046,0.048,0.064,0.068,0.048,0.06,0.044
"4",0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
