"","error.sigma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.88,0.882,0.896,0.88,0.9,0.888,0.89,0.906,0.904,0.874,0.886,0.91,0.91,0.892,0.858,0.894,0.906,0.88,0.908,0.902,0.894,0.916,0.886,0.902,0.872,0.886,0.9,0.858,0.894,0.906,0.892,0.888,0.896,0.88,0.912,0.9,0.902,0.878,0.888,0.872,0.892,0.89,0.906,0.892,0.908,0.908,0.894,0.87,0.88,0.92
"2",0.2,0.856,0.828,0.838,0.854,0.864,0.866,0.872,0.858,0.848,0.88,0.862,0.844,0.872,0.87,0.85,0.834,0.876,0.868,0.856,0.838,0.86,0.846,0.856,0.864,0.838,0.882,0.844,0.816,0.86,0.84,0.86,0.882,0.834,0.864,0.882,0.824,0.876,0.86,0.84,0.852,0.838,0.84,0.846,0.852,0.836,0.862,0.86,0.828,0.85,0.844
"3",0.4,0.534,0.52,0.54,0.48,0.508,0.532,0.522,0.48,0.528,0.502,0.492,0.516,0.502,0.476,0.494,0.51,0.482,0.532,0.534,0.492,0.526,0.51,0.482,0.518,0.518,0.514,0.472,0.502,0.46,0.54,0.51,0.476,0.492,0.538,0.544,0.54,0.516,0.464,0.526,0.556,0.518,0.492,0.488,0.476,0.494,0.51,0.506,0.522,0.524,0.504
"4",0.6,0.034,0.04,0.04,0.018,0.03,0.026,0.044,0.038,0.04,0.042,0.038,0.036,0.04,0.056,0.042,0.032,0.028,0.02,0.046,0.054,0.034,0.046,0.042,0.038,0.034,0.042,0.026,0.052,0.052,0.044,0.042,0.032,0.044,0.046,0.05,0.036,0.038,0.054,0.034,0.038,0.034,0.028,0.036,0.038,0.032,0.022,0.026,0.04,0.032,0.042
"5",0.8,0.002,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0.002,0,0.002,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.002,0
"6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
