"","error.sigma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",0,0.994,0.994,0.996,0.998,0.99,1,0.996,1,0.998,0.994,0.996,0.998,0.99,0.994,0.998,0.996,0.998,0.994,0.99,0.998,0.996,0.992,0.994,0.996,0.998,0.99,0.998,0.99,1,0.994,0.996,0.996,1,0.994,0.996,0.992,0.998,0.998,0.992,0.994,0.99,0.994,0.994,0.994,0.992,0.99,0.996,0.99,0.998,0.992
"2",0.2,0.992,0.992,0.986,0.994,0.992,0.988,0.996,0.998,0.99,0.99,0.994,0.994,0.99,0.99,0.994,0.998,0.986,0.994,0.992,0.986,0.994,0.992,0.996,0.994,0.998,0.994,0.998,1,0.992,0.996,0.992,0.986,0.996,0.99,0.988,0.984,0.998,0.996,0.986,0.994,0.994,0.988,0.994,0.99,0.998,0.994,0.986,0.984,0.994,0.992
"3",0.4,0.944,0.956,0.954,0.944,0.962,0.944,0.96,0.946,0.95,0.954,0.94,0.948,0.942,0.936,0.954,0.944,0.946,0.936,0.962,0.952,0.958,0.958,0.942,0.958,0.956,0.948,0.94,0.934,0.944,0.952,0.964,0.956,0.956,0.962,0.96,0.96,0.942,0.954,0.948,0.944,0.948,0.948,0.938,0.934,0.942,0.938,0.95,0.944,0.948,0.974
"4",0.6,0.63,0.63,0.65,0.626,0.666,0.626,0.626,0.64,0.594,0.646,0.62,0.648,0.638,0.648,0.608,0.654,0.612,0.592,0.662,0.626,0.596,0.594,0.602,0.646,0.618,0.618,0.626,0.594,0.662,0.624,0.608,0.622,0.632,0.616,0.69,0.638,0.64,0.634,0.622,0.626,0.626,0.598,0.648,0.606,0.598,0.6,0.632,0.622,0.672,0.612
"5",0.8,0.276,0.31,0.328,0.282,0.29,0.304,0.276,0.326,0.316,0.288,0.262,0.296,0.262,0.302,0.278,0.272,0.27,0.276,0.284,0.29,0.308,0.284,0.3,0.29,0.304,0.274,0.298,0.27,0.318,0.304,0.296,0.296,0.226,0.326,0.256,0.288,0.274,0.274,0.282,0.272,0.29,0.316,0.276,0.29,0.272,0.31,0.298,0.274,0.288,0.314
"6",1,0.136,0.162,0.188,0.134,0.172,0.178,0.176,0.162,0.164,0.158,0.188,0.17,0.178,0.162,0.142,0.154,0.158,0.172,0.144,0.15,0.168,0.168,0.156,0.192,0.164,0.17,0.17,0.182,0.168,0.168,0.15,0.136,0.166,0.172,0.18,0.17,0.16,0.176,0.164,0.17,0.172,0.168,0.158,0.146,0.184,0.166,0.172,0.142,0.156,0.126
