"","n.seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",50,0.162,0.192,0.184,0.17,0.212,0.188,0.198,0.192,0.222,0.194,0.21,0.192,0.172,0.198,0.23,0.2,0.206,0.164,0.184,0.176,0.192,0.202,0.178,0.168,0.196,0.21,0.188,0.204,0.224,0.204,0.214,0.218,0.184,0.17,0.172,0.16,0.156,0.16,0.168,0.184,0.212,0.222,0.222,0.176,0.17,0.208,0.188,0.178,0.188,0.194
"2",100,0.208,0.258,0.24,0.196,0.224,0.224,0.25,0.216,0.246,0.242,0.266,0.188,0.23,0.228,0.288,0.224,0.23,0.24,0.214,0.208,0.256,0.22,0.244,0.224,0.194,0.246,0.248,0.244,0.24,0.246,0.202,0.236,0.246,0.236,0.244,0.234,0.198,0.222,0.206,0.23,0.206,0.21,0.232,0.234,0.206,0.214,0.232,0.214,0.24,0.218
"3",200,0.348,0.372,0.35,0.368,0.384,0.374,0.352,0.4,0.35,0.332,0.338,0.334,0.374,0.372,0.378,0.384,0.356,0.346,0.358,0.332,0.362,0.342,0.356,0.378,0.382,0.372,0.35,0.38,0.364,0.346,0.368,0.356,0.324,0.332,0.358,0.366,0.372,0.336,0.34,0.424,0.346,0.38,0.344,0.386,0.388,0.37,0.356,0.34,0.34,0.364
"4",300,0.446,0.474,0.504,0.482,0.484,0.534,0.514,0.492,0.528,0.536,0.526,0.514,0.516,0.5,0.52,0.51,0.486,0.484,0.47,0.5,0.492,0.524,0.496,0.502,0.462,0.462,0.544,0.504,0.51,0.496,0.504,0.53,0.482,0.506,0.484,0.5,0.516,0.508,0.51,0.466,0.52,0.474,0.502,0.506,0.506,0.482,0.498,0.46,0.54,0.47
"5",400,0.644,0.592,0.606,0.632,0.658,0.6,0.664,0.648,0.646,0.662,0.642,0.66,0.654,0.64,0.608,0.676,0.612,0.652,0.628,0.624,0.626,0.626,0.672,0.644,0.648,0.678,0.62,0.638,0.632,0.636,0.62,0.648,0.658,0.61,0.644,0.612,0.642,0.672,0.652,0.66,0.632,0.65,0.62,0.646,0.61,0.638,0.596,0.632,0.59,0.648
"6",500,0.744,0.744,0.718,0.718,0.732,0.78,0.73,0.744,0.758,0.762,0.722,0.728,0.724,0.724,0.734,0.724,0.72,0.746,0.73,0.746,0.762,0.724,0.738,0.734,0.776,0.784,0.728,0.72,0.752,0.74,0.726,0.744,0.708,0.748,0.76,0.732,0.724,0.766,0.752,0.742,0.748,0.734,0.776,0.762,0.736,0.734,0.754,0.72,0.738,0.744
