"","Sample.Size","Bonferroni","HM","BonGM","Multiple.Gaussian.Kernel","Time...Bonferroni","Time...HM","Time...BonGM","Time...Multiple.Gaussian.Kernel"
"1",10,1,1,1,1,6.87906312942505,5.49282097816467,5.5891101360321,8.60050106048584
"2",50,0.99,0.99,0.96,0.98,6.07344102859497,6.1526563167572,6.01585078239441,5.95501613616943
"3",100,0.88,0.78,0.73,1,6.98967480659485,6.83913040161133,6.85292363166809,6.95019912719727
"4",150,0.63,0.48,0.42,0.87,8.55408453941345,8.34407019615173,8.33377480506897,8.26972937583923
"5",200,0.28,0.1,0.11,0.77,10.3043038845062,10.0908489227295,10.0899846553802,10.2785894870758
"6",250,0.12,0.02,0.06,0.72,12.528862953186,12.3101177215576,12.4158554077148,12.4122667312622
"7",300,0,0.02,0,0.72,15.6320374011993,15.6036803722382,15.4687807559967,15.6380627155304
